department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Honors (HONORS),HONORS,https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS211,HONORS HUMANITIES 2 ,VLPA,https://myplan.uw.edu/course/#/courses/HONORS211
Honors (HONORS),HONORS,https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS221,HONORS SCIENCE 2,NW,https://myplan.uw.edu/course/#/courses/HONORS221
Honors (HONORS),HONORS,https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS231,HONORS SOC SCI 2,I&S,https://myplan.uw.edu/course/#/courses/HONORS231
Honors (HONORS),HONORS,https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS241,HONORS FINE ARTS 2,VLPA,https://myplan.uw.edu/course/#/courses/HONORS241
Honors (HONORS),HONORS,https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS345,INTER WRITING SEM,C,https://myplan.uw.edu/course/#/courses/HONORS345
Honors (HONORS),HONORS,https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS391,H-INTERDIS STDY I,VLPA/I&S/NW,https://myplan.uw.edu/course/#/courses/HONORS391
Honors (HONORS),HONORS,https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS394,H-INTERDIS STDY IV,VLPA/I&S,https://myplan.uw.edu/course/#/courses/HONORS394
Honors (HONORS),HONORS,https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS397,H-SPEC TPCS SOC SCI ,I&S,https://myplan.uw.edu/course/#/courses/HONORS397
Honors (HONORS),HONORS,https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS496,H-CORE INTEGRATION,,https://myplan.uw.edu/course/#/courses/HONORS496
Honors (HONORS),HONORS,https://www.washington.edu/students/timeschd/WIN2021/hnrs.html,HONORS499,IND STUDY/RESEARCH,,https://myplan.uw.edu/course/#/courses/HONORS499
