department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV230,SLEEP & POP HEALTH,I&S/NW,https://myplan.uw.edu/course/#/courses/HSERV230
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV344,PBLC HLTH & SYS MGN ,,https://myplan.uw.edu/course/#/courses/HSERV344
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV482,HLTH OF POPULATIONS ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/HSERV482
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV499,INDEPENDENT STUDY,,https://myplan.uw.edu/course/#/courses/HSERV499
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV509,PH & INFORMATICS,,https://myplan.uw.edu/course/#/courses/HSERV509
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV511,INTRO TO HSERV & PH ,,https://myplan.uw.edu/course/#/courses/HSERV511
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV513,HLTH POLICY RSRCH,,https://myplan.uw.edu/course/#/courses/HSERV513
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV524,ADV RSCH METH II,,https://myplan.uw.edu/course/#/courses/HSERV524
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV542,MAT CHILD EPI PROB,,https://myplan.uw.edu/course/#/courses/HSERV542
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV544,MCH IN LMICS,,https://myplan.uw.edu/course/#/courses/HSERV544
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV548,SOCIAL DETERMINANTS ,,https://myplan.uw.edu/course/#/courses/HSERV548
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV555,HLTH DISPARITIES,,https://myplan.uw.edu/course/#/courses/HSERV555
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV556,TOBACCO HLTH DISPAR ,,https://myplan.uw.edu/course/#/courses/HSERV556
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV579,RACISM & PUBLIC HLTH,,https://myplan.uw.edu/course/#/courses/HSERV579
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV581,STR OF HEALTH PROMO ,,https://myplan.uw.edu/course/#/courses/HSERV581
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV584,HEALTH OUTCOMES,,https://myplan.uw.edu/course/#/courses/HSERV584
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV592,PROGRAM SEMINARS,,https://myplan.uw.edu/course/#/courses/HSERV592
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV595,FIELDWORK IN COMM H ,,https://myplan.uw.edu/course/#/courses/HSERV595
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV599,CAPSTONE PROJECT,,https://myplan.uw.edu/course/#/courses/HSERV599
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/HSERV600
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/HSERV700
Health Services (HSERV),HSERV,https://www.washington.edu/students/timeschd/WIN2021/hlthsvcs.html,HSERV800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/HSERV800
