department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY201,HISTRY LECTURE SERIS,,https://myplan.uw.edu/course/#/courses/HSTRY201
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY388,INTRO TO HISTORY,I&S,https://myplan.uw.edu/course/#/courses/HSTRY388
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY492,H-HISTORICAL MTHD,I&S,https://myplan.uw.edu/course/#/courses/HSTRY492
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY494,HISTORIOGRAPHY,I&S,https://myplan.uw.edu/course/#/courses/HSTRY494
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY495,HISTORY INTERNSHIP,,https://myplan.uw.edu/course/#/courses/HSTRY495
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY498,COLLOQUIUM IN HIST,I&S,https://myplan.uw.edu/course/#/courses/HSTRY498
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/HSTRY499
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY571,HISTORY AS PROFESION,,https://myplan.uw.edu/course/#/courses/HSTRY571
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY596,RESEARCH SEMINAR,,https://myplan.uw.edu/course/#/courses/HSTRY596
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/HSTRY600
History Seminars and Independent Studies (HSTRY),HSTRY,https://www.washington.edu/students/timeschd/WIN2021/hstry.html,HSTRY800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/HSTRY800
