department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Information Systems (I S),I S,https://www.washington.edu/students/timeschd/WIN2021/infosys.html,IS300,INTRO TO INFO SYS,,https://myplan.uw.edu/course/#/courses/IS300
Information Systems (I S),I S,https://www.washington.edu/students/timeschd/WIN2021/infosys.html,IS320,FUND OF APPLIC PROG ,,https://myplan.uw.edu/course/#/courses/IS320
Information Systems (I S),I S,https://www.washington.edu/students/timeschd/WIN2021/infosys.html,IS410,NTWRKS CYBRSCRTY,,https://myplan.uw.edu/course/#/courses/IS410
Information Systems (I S),I S,https://www.washington.edu/students/timeschd/WIN2021/infosys.html,IS445,DATABASE,,https://myplan.uw.edu/course/#/courses/IS445
Information Systems (I S),I S,https://www.washington.edu/students/timeschd/WIN2021/infosys.html,IS451,BUS DATA ANALYTICS,,https://myplan.uw.edu/course/#/courses/IS451
Information Systems (I S),I S,https://www.washington.edu/students/timeschd/WIN2021/infosys.html,IS460,SYS ANLYS & DESGN,,https://myplan.uw.edu/course/#/courses/IS460
Information Systems (I S),I S,https://www.washington.edu/students/timeschd/WIN2021/infosys.html,IS499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/IS499
Information Systems (I S),I S,https://www.washington.edu/students/timeschd/WIN2021/infosys.html,IS580,ADV RSRCH TOPICS I,,https://myplan.uw.edu/course/#/courses/IS580
Information Systems (I S),I S,https://www.washington.edu/students/timeschd/WIN2021/infosys.html,IS599,DOC SEM IN INFO SYS ,,https://myplan.uw.edu/course/#/courses/IS599
Information Systems (I S),I S,https://www.washington.edu/students/timeschd/WIN2021/infosys.html,IS600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/IS600
