department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/IMMUN499
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN532,ADVANCED IMMUNOLOGY ,,https://myplan.uw.edu/course/#/courses/IMMUN532
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN550,SELECT TOPICS IMMUN ,,https://myplan.uw.edu/course/#/courses/IMMUN550
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN551,T DEP B CELL MAT,,https://myplan.uw.edu/course/#/courses/IMMUN551
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN552,ANTIVIRAL RESPONSE,,https://myplan.uw.edu/course/#/courses/IMMUN552
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN553,R/R IN B CELLS,,https://myplan.uw.edu/course/#/courses/IMMUN553
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN554,HUMAN IMMUNOGENETIC ,,https://myplan.uw.edu/course/#/courses/IMMUN554
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN555,AUTOIMMUNE REG,,https://myplan.uw.edu/course/#/courses/IMMUN555
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN556,IMMUNITY/ALLERGY,,https://myplan.uw.edu/course/#/courses/IMMUN556
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN557,CELL DEATH,,https://myplan.uw.edu/course/#/courses/IMMUN557
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN558,AUTOIMMUNITY,,https://myplan.uw.edu/course/#/courses/IMMUN558
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN559,T CELLS IN TB,,https://myplan.uw.edu/course/#/courses/IMMUN559
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN560,T CELL RESEARCH,,https://myplan.uw.edu/course/#/courses/IMMUN560
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN561,MECH PERIPH TOLER,,https://myplan.uw.edu/course/#/courses/IMMUN561
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN562,IMMUNO STRUCT BIOL,,https://myplan.uw.edu/course/#/courses/IMMUN562
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN563,MACROPHAGE BIOLOGY,,https://myplan.uw.edu/course/#/courses/IMMUN563
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN564,CELL/MOL REG T RESP ,,https://myplan.uw.edu/course/#/courses/IMMUN564
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN565,INNATE IMMUNE DEFS,,https://myplan.uw.edu/course/#/courses/IMMUN565
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN566,MEMORY T & B,,https://myplan.uw.edu/course/#/courses/IMMUN566
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN567,IMMUNE MIRNAS,,https://myplan.uw.edu/course/#/courses/IMMUN567
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN568,INFLAMM RESPONSE,,https://myplan.uw.edu/course/#/courses/IMMUN568
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN569,T CELLS IN AUTOIMM,,https://myplan.uw.edu/course/#/courses/IMMUN569
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN570,MUCOSAL IMMUNITY,,https://myplan.uw.edu/course/#/courses/IMMUN570
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN571,DEV ACTIV B CELLS,,https://myplan.uw.edu/course/#/courses/IMMUN571
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN572,SIGNALING IN B-CELLS,,https://myplan.uw.edu/course/#/courses/IMMUN572
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN573,IMMUN SEMINAR,,https://myplan.uw.edu/course/#/courses/IMMUN573
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN574,KSHV: B-CELL/ENDOTH ,,https://myplan.uw.edu/course/#/courses/IMMUN574
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN575,INFECTION/IMMUNITY,,https://myplan.uw.edu/course/#/courses/IMMUN575
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN576,INNATE REGULATION,,https://myplan.uw.edu/course/#/courses/IMMUN576
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN577,LYM HOM AND FUNC,,https://myplan.uw.edu/course/#/courses/IMMUN577
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN578,IMM/PATH TUBERCULOS ,,https://myplan.uw.edu/course/#/courses/IMMUN578
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN579,LIVER IMMUNOLOGY,,https://myplan.uw.edu/course/#/courses/IMMUN579
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN580,IMMUNE IMAGE SFB,,https://myplan.uw.edu/course/#/courses/IMMUN580
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN581,TYPE 2 IMMUNITY,,https://myplan.uw.edu/course/#/courses/IMMUN581
Immunology (IMMUN),IMMUN,https://www.washington.edu/students/timeschd/WIN2021/immun.html,IMMUN599,INTRO TO IMMUN RES,,https://myplan.uw.edu/course/#/courses/IMMUN599
