department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE250,ENGR ECON,NW,https://myplan.uw.edu/course/#/courses/INDE250
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE315,PROB & STAT FOR ENG ,NW,https://myplan.uw.edu/course/#/courses/INDE315
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE316,DESIGN EXPRMNTS,NW,https://myplan.uw.edu/course/#/courses/INDE316
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE411,STCH MODL & DEC ANL ,,https://myplan.uw.edu/course/#/courses/INDE411
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE424,SIMULATION,,https://myplan.uw.edu/course/#/courses/INDE424
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE494,DES IN MANUF FIRM,,https://myplan.uw.edu/course/#/courses/INDE494
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE499,SPECIAL PROJECTS IE ,,https://myplan.uw.edu/course/#/courses/INDE499
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE515,FUNDAMNTL OPTIMIZTN ,,https://myplan.uw.edu/course/#/courses/INDE515
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE524,ROB DES PROC IMPR,,https://myplan.uw.edu/course/#/courses/INDE524
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE546,INFERENTL DATA ANSYS,,https://myplan.uw.edu/course/#/courses/INDE546
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE582,TECH LEADERSHIP,,https://myplan.uw.edu/course/#/courses/INDE582
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE592,SEMINAR,,https://myplan.uw.edu/course/#/courses/INDE592
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE595,GLBL INT SYS ENGR,,https://myplan.uw.edu/course/#/courses/INDE595
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE599,SPECIAL TOPICS IE,,https://myplan.uw.edu/course/#/courses/INDE599
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/INDE600
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/INDE700
Industrial Engineering (IND E),IND E,https://www.washington.edu/students/timeschd/WIN2021/inde.html,INDE800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/INDE800
