department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO101,SOCIAL NETWORKING,I&S/NW,https://myplan.uw.edu/course/#/courses/INFO101
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO200,INTELL FOUNDATIONS,I&S,https://myplan.uw.edu/course/#/courses/INFO200
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO201,TECH FOUNDATIONS,QSR,https://myplan.uw.edu/course/#/courses/INFO201
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO290,ORIENTATION TO INFO ,,https://myplan.uw.edu/course/#/courses/INFO290
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO300,RESEARCH METHODS,,https://myplan.uw.edu/course/#/courses/INFO300
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO310,INFO ASSR & CYBRSEC ,"I&S,QSR",https://myplan.uw.edu/course/#/courses/INFO310
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO314,COMP NET & DIST APP ,NW,https://myplan.uw.edu/course/#/courses/INFO314
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO330,DB & DATA MODELING,QSR,https://myplan.uw.edu/course/#/courses/INFO330
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO340,CLIENT-SIDE DEV,QSR,https://myplan.uw.edu/course/#/courses/INFO340
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO350,INFO ETHICS & POLCY ,I&S,https://myplan.uw.edu/course/#/courses/INFO350
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO360,DESIGN METHODS,I&S,https://myplan.uw.edu/course/#/courses/INFO360
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO370,DATA SCIENCE METHDS ,QSR,https://myplan.uw.edu/course/#/courses/INFO370
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO371,ADV DATA SCI METHDS ,QSR,https://myplan.uw.edu/course/#/courses/INFO371
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO380,IS ANALYSIS & DSGN,,https://myplan.uw.edu/course/#/courses/INFO380
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO386,PROFESSIONALISM,,https://myplan.uw.edu/course/#/courses/INFO386
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO402,"GENDER, RACE & IT","I&S,DIV",https://myplan.uw.edu/course/#/courses/INFO402
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO415,TOPICS IN CYBERSEC,,https://myplan.uw.edu/course/#/courses/INFO415
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO430,DB DESIGN & MGMT,,https://myplan.uw.edu/course/#/courses/INFO430
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO441,SERVER-SIDE DEV,,https://myplan.uw.edu/course/#/courses/INFO441
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO465,TECH TIME & DESIGN,,https://myplan.uw.edu/course/#/courses/INFO465
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO466,MORAL REASON & DSGN ,,https://myplan.uw.edu/course/#/courses/INFO466
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO474,INTERACTIVE INFO VIS,"VLPA,QSR",https://myplan.uw.edu/course/#/courses/INFO474
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO490,CAPSTONE PROJECT I,,https://myplan.uw.edu/course/#/courses/INFO490
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO495,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/INFO495
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO498,TOPIC INFORMATICS,,https://myplan.uw.edu/course/#/courses/INFO498
Informatics (INFO),INFO,https://www.washington.edu/students/timeschd/WIN2021/info.html,INFO499,IND STUDY,,https://myplan.uw.edu/course/#/courses/INFO499
