department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN102,1ST-YR JAPANESE,,https://myplan.uw.edu/course/#/courses/JAPAN102
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN202,2ND-YR JAPANESE,VLPA,https://myplan.uw.edu/course/#/courses/JAPAN202
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN302,THIRD-YEAR JAPANESE ,VLPA,https://myplan.uw.edu/course/#/courses/JAPAN302
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN322,MODERN JAPAN LIT,VLPA,https://myplan.uw.edu/course/#/courses/JAPAN322
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN361,TOPICS JAPAN CINEMA ,VLPA,https://myplan.uw.edu/course/#/courses/JAPAN361
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN402,4TH-YR JAPANESE,VLPA/I&S,https://myplan.uw.edu/course/#/courses/JAPAN402
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN413,JPNSE THRU MOVIES,VLPA,https://myplan.uw.edu/course/#/courses/JAPAN413
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN432,RDGS MOD JAPAN LIT,VLPA,https://myplan.uw.edu/course/#/courses/JAPAN432
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN441,JPNSE L2 ACQUISTION ,,https://myplan.uw.edu/course/#/courses/JAPAN441
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN442,JAPANESE SYN & SEM,VLPA,https://myplan.uw.edu/course/#/courses/JAPAN442
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN452,JPNSE PROJECT WORK,VLPA,https://myplan.uw.edu/course/#/courses/JAPAN452
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN471,INTR CLSCL JPNSE,VLPA,https://myplan.uw.edu/course/#/courses/JAPAN471
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/JAPAN499
Japanese (JAPAN),JAPAN,https://www.washington.edu/students/timeschd/WIN2021/japanese.html,JAPAN591,SEM JAPAN CINEMA,,https://myplan.uw.edu/course/#/courses/JAPAN591
