department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA205,FILIPINO HISTORIES,"I&S,DIV",https://myplan.uw.edu/course/#/courses/JSISA205
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA207,ASIA CIVS-TRADTIONS ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/JSISA207
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA210,ISLAMIC CIVILZATION ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/JSISA210
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA239,GREECE ANCNT TO MODN,VLPA/I&S,https://myplan.uw.edu/course/#/courses/JSISA239
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA242,INTRO CONTEMP JAPAN ,I&S,https://myplan.uw.edu/course/#/courses/JSISA242
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA251,MOD EUR:FRENC REV-EU,I&S,https://myplan.uw.edu/course/#/courses/JSISA251
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA265,THE VIET NAM WARS,I&S,https://myplan.uw.edu/course/#/courses/JSISA265
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA302,POLTIC/CULTURES EUR ,I&S,https://myplan.uw.edu/course/#/courses/JSISA302
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA324,HUMAN RIGHTS LAT AM ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/JSISA324
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA365,LUSO-BRAZILIAN CULTU,VLPA/I&S,https://myplan.uw.edu/course/#/courses/JSISA365
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA409,20TH CENTURY INDIA,I&S,https://myplan.uw.edu/course/#/courses/JSISA409
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA415,NATL SECURITY JAPAN ,I&S,https://myplan.uw.edu/course/#/courses/JSISA415
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA416,NATO,I&S,https://myplan.uw.edu/course/#/courses/JSISA416
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA427,ANTH POST-SOVIET,I&S,https://myplan.uw.edu/course/#/courses/JSISA427
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA431,DEMOGRAPHIC ASIA,I&S,https://myplan.uw.edu/course/#/courses/JSISA431
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA440,JAPAN ECOLOGICL HIST,I&S,https://myplan.uw.edu/course/#/courses/JSISA440
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA442,WAR/OCCUPATN N. EUR ,"VLPA/I&S,DIV",https://myplan.uw.edu/course/#/courses/JSISA442
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA446,MODERN KOREAN HIST,I&S,https://myplan.uw.edu/course/#/courses/JSISA446
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA456,CHINESE SOC HISTORY ,I&S,https://myplan.uw.edu/course/#/courses/JSISA456
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA466,COMPAR POL KOREA ST ,I&S,https://myplan.uw.edu/course/#/courses/JSISA466
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA494,EURO SENIOR SEMINAR ,I&S,https://myplan.uw.edu/course/#/courses/JSISA494
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA509,INTERDIS STUDY SAII ,,https://myplan.uw.edu/course/#/courses/JSISA509
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA512,RUSS/E EUR CAPSTONE ,,https://myplan.uw.edu/course/#/courses/JSISA512
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA515,REECAS THESIS SEM II,,https://myplan.uw.edu/course/#/courses/JSISA515
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA516,NATO,,https://myplan.uw.edu/course/#/courses/JSISA516
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA521,SM-INTRDSP ST CHINA ,,https://myplan.uw.edu/course/#/courses/JSISA521
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA539,JAPAN ECOLOGICL HIST,,https://myplan.uw.edu/course/#/courses/JSISA539
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA540,JAPANESE LAW,,https://myplan.uw.edu/course/#/courses/JSISA540
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA541,CHINESE LAW,,https://myplan.uw.edu/course/#/courses/JSISA541
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA545,SEM MID EAST STDIES ,,https://myplan.uw.edu/course/#/courses/JSISA545
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA548,NATL SECURITY JAPAN ,,https://myplan.uw.edu/course/#/courses/JSISA548
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA566,COMPAR POL KOREA ST ,,https://myplan.uw.edu/course/#/courses/JSISA566
International Studies Area Studies (JSIS A),JSIS A,https://www.washington.edu/students/timeschd/WIN2021/jsisa.html,JSISA580,FLD CRS SE ASIAN HS ,,https://myplan.uw.edu/course/#/courses/JSISA580
