department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB180,INTRO TO GLOBAL HLTH,I&S,https://myplan.uw.edu/course/#/courses/JSISB180
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB331,POL ECON OF DEVELOP ,I&S,https://myplan.uw.edu/course/#/courses/JSISB331
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB345,WOMEN INTL ECON DEV ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/JSISB345
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB346,DISABILITY GLOBAL,"I&S,DIV",https://myplan.uw.edu/course/#/courses/JSISB346
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB406,POLITICAL ISLAM,I&S,https://myplan.uw.edu/course/#/courses/JSISB406
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB426,WORLD POLITICS,I&S,https://myplan.uw.edu/course/#/courses/JSISB426
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB436,ETHNIC POLITICS,I&S,https://myplan.uw.edu/course/#/courses/JSISB436
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB441,FORCED MIGRATIONS,"I&S,DIV",https://myplan.uw.edu/course/#/courses/JSISB441
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB472,ELECTORAL SYSTEMS,I&S,https://myplan.uw.edu/course/#/courses/JSISB472
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB541,FORCED MIGRATIONS,,https://myplan.uw.edu/course/#/courses/JSISB541
International Studies Global/Thematic Courses (JSIS B),JSIS B,https://www.washington.edu/students/timeschd/WIN2021/jsisb.html,JSISB572,ELECTORAL SYSTEMS,,https://myplan.uw.edu/course/#/courses/JSISB572
