department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH353,HIST MOD LAND ARCH,VLPA/I&S,https://myplan.uw.edu/course/#/courses/LARCH353
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH361,EXPERIENCE PLACE,"VLPA/I&S,DIV",https://myplan.uw.edu/course/#/courses/LARCH361
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH402,URBAN SITES STUDIO,,https://myplan.uw.edu/course/#/courses/LARCH402
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH406,INDIV DSGN STUDIO,,https://myplan.uw.edu/course/#/courses/LARCH406
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH433,DESIGN IMPLEMENT,,https://myplan.uw.edu/course/#/courses/LARCH433
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH440,DIGITAL MEDIA I,,https://myplan.uw.edu/course/#/courses/LARCH440
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH473,PROFESSIONAL PRACT,,https://myplan.uw.edu/course/#/courses/LARCH473
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH474,DSGN BUILD STUDIO I ,,https://myplan.uw.edu/course/#/courses/LARCH474
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH476,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/LARCH476
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH498,SPECIAL PROJECTS,,https://myplan.uw.edu/course/#/courses/LARCH498
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/LARCH499
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH502,ADV STUDIO V,,https://myplan.uw.edu/course/#/courses/LARCH502
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH553,HIST MDRN LSCPE ARC ,,https://myplan.uw.edu/course/#/courses/LARCH553
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH561,HUM EXP OF PLACE,,https://myplan.uw.edu/course/#/courses/LARCH561
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH598,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/LARCH598
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/LARCH600
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH601,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/LARCH601
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/LARCH700
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH701,THESIS STUDIO,,https://myplan.uw.edu/course/#/courses/LARCH701
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH702,CAPSTONE STUDIO,,https://myplan.uw.edu/course/#/courses/LARCH702
Landscape Architecture (L ARCH),L ARCH,https://www.washington.edu/students/timeschd/WIN2021/landscape.html,LARCH703,GROUP PROJECT,,https://myplan.uw.edu/course/#/courses/LARCH703
