department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM423,CLINICAL CHEMISTRY,,https://myplan.uw.edu/course/#/courses/LABM423
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM424,CLIN MICROBIOLOGY,,https://myplan.uw.edu/course/#/courses/LABM424
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM425,CLINICAL HEMATOLOGY ,,https://myplan.uw.edu/course/#/courses/LABM425
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM430,MD TCH-INT CL HEMAT ,,https://myplan.uw.edu/course/#/courses/LABM430
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM431,IMMUNOHEM ROTATION,,https://myplan.uw.edu/course/#/courses/LABM431
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM433,ENRICHMENT ROTATION ,,https://myplan.uw.edu/course/#/courses/LABM433
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM435,MOLECULAR DIAG,,https://myplan.uw.edu/course/#/courses/LABM435
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM436,MDX Rotation,,https://myplan.uw.edu/course/#/courses/LABM436
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM499,UNDERGRAD RES,,https://myplan.uw.edu/course/#/courses/LABM499
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM502,LAB MED GRND ROUNDS ,,https://myplan.uw.edu/course/#/courses/LABM502
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM510,RESEARCH CONFERENCE ,,https://myplan.uw.edu/course/#/courses/LABM510
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM521,ADV LAB HEMATOLOGY,,https://myplan.uw.edu/course/#/courses/LABM521
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM555,LM RESEARCH DESIGN,,https://myplan.uw.edu/course/#/courses/LABM555
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM590P,P-RES PROJ LAB MED,,https://myplan.uw.edu/course/#/courses/LABM590P
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/LABM600
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM601,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/LABM601
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM680P,P-CLIN LAB TEST,,https://myplan.uw.edu/course/#/courses/LABM680P
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM685P,P-CLIN LAB DIAG,,https://myplan.uw.edu/course/#/courses/LABM685P
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM699P,P-WWAMI LAB M ELECT ,,https://myplan.uw.edu/course/#/courses/LABM699P
Laboratory Medicine (LAB M),LAB M,https://www.washington.edu/students/timeschd/WIN2021/labmed.html,LABM700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/LABM700
