department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA500,LAW PERSPECTIVES,,https://myplan.uw.edu/course/#/courses/LAWA500
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA501,CONTRACTS,,https://myplan.uw.edu/course/#/courses/LAWA501
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA502,CIVIL PROCEDURE I,,https://myplan.uw.edu/course/#/courses/LAWA502
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA503,PROPERTY I,,https://myplan.uw.edu/course/#/courses/LAWA503
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA506,LEGAL ANALYSIS,,https://myplan.uw.edu/course/#/courses/LAWA506
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA509,ADMINISTRATIVE LAW,,https://myplan.uw.edu/course/#/courses/LAWA509
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA515,BUSINESS ORGNZATION ,,https://myplan.uw.edu/course/#/courses/LAWA515
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA517,SECURITIES REGULATN ,,https://myplan.uw.edu/course/#/courses/LAWA517
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA527,ENVIRONMENTAL LAW,,https://myplan.uw.edu/course/#/courses/LAWA527
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA530,INDIV INCOME TAX,,https://myplan.uw.edu/course/#/courses/LAWA530
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA553,FEMINIST JURIS SEM,,https://myplan.uw.edu/course/#/courses/LAWA553
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA554,LABOR RELTNS & LAW,,https://myplan.uw.edu/course/#/courses/LAWA554
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA556,EMPLOY DISCRIM,,https://myplan.uw.edu/course/#/courses/LAWA556
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA565,AMERICAN INDIAN LAW ,,https://myplan.uw.edu/course/#/courses/LAWA565
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA575,HUMAN RTS HISTORY,,https://myplan.uw.edu/course/#/courses/LAWA575
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA581,WA CONSTITUTION LAW ,,https://myplan.uw.edu/course/#/courses/LAWA581
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA582,BANKRUPTCY,,https://myplan.uw.edu/course/#/courses/LAWA582
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA590,CON LAW: EP,,https://myplan.uw.edu/course/#/courses/LAWA590
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA591,FIRST AMENDMENT,,https://myplan.uw.edu/course/#/courses/LAWA591
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA597,INTENSIVE WRITING,,https://myplan.uw.edu/course/#/courses/LAWA597
Law A (LAW A),LAW A,https://www.washington.edu/students/timeschd/WIN2021/lawa.html,LAWA599,LEGAL RSRCH MTHDS,,https://myplan.uw.edu/course/#/courses/LAWA599
