department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB500,CIVIL PROCEDURE II,,https://myplan.uw.edu/course/#/courses/LAWB500
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB503,EVIDENCE,,https://myplan.uw.edu/course/#/courses/LAWB503
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB507,FED COURTS & SYSTEM ,,https://myplan.uw.edu/course/#/courses/LAWB507
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB508,BUS AND HUM RIGHTS,,https://myplan.uw.edu/course/#/courses/LAWB508
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB510,PROBS PROF RESPONS,,https://myplan.uw.edu/course/#/courses/LAWB510
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB516,INTL CONTRACTING,,https://myplan.uw.edu/course/#/courses/LAWB516
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB520,TRIAL ADV,,https://myplan.uw.edu/course/#/courses/LAWB520
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB523,NEGOTIATION,,https://myplan.uw.edu/course/#/courses/LAWB523
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB526,MEDIATION CLINIC,,https://myplan.uw.edu/course/#/courses/LAWB526
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB528,WRKS RIGHTS CLINIC,,https://myplan.uw.edu/course/#/courses/LAWB528
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB530,JUDICIAL EXTERNSHIP ,,https://myplan.uw.edu/course/#/courses/LAWB530
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB531,IMMIG LAW CLINIC,,https://myplan.uw.edu/course/#/courses/LAWB531
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB532,ADV CLINIC,,https://myplan.uw.edu/course/#/courses/LAWB532
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB534,COUNSEL WORKSHOP,,https://myplan.uw.edu/course/#/courses/LAWB534
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB535,LEGISLATIVE EXTERN,,https://myplan.uw.edu/course/#/courses/LAWB535
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB536,DRAFT BUS DOCUMNTS,,https://myplan.uw.edu/course/#/courses/LAWB536
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB538,AGENCY EXTERNSHIPS,,https://myplan.uw.edu/course/#/courses/LAWB538
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB539,PUB INT LAW EXTERN,,https://myplan.uw.edu/course/#/courses/LAWB539
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB540,JAPANESE LAW,,https://myplan.uw.edu/course/#/courses/LAWB540
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB541,CHINESE LAW,,https://myplan.uw.edu/course/#/courses/LAWB541
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB552,TUTOR IN COMPAR LAW ,,https://myplan.uw.edu/course/#/courses/LAWB552
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB554,RESEARCH TUTORIAL,,https://myplan.uw.edu/course/#/courses/LAWB554
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB556,ISLAMIC LAW,,https://myplan.uw.edu/course/#/courses/LAWB556
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB557,GRAD WRITING SEM,,https://myplan.uw.edu/course/#/courses/LAWB557
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB558,DOCTORAL SEMINAR,,https://myplan.uw.edu/course/#/courses/LAWB558
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB560,CRIM JUSTICE EXTERN ,,https://myplan.uw.edu/course/#/courses/LAWB560
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB567,GEN EXTERN PERSP SM ,,https://myplan.uw.edu/course/#/courses/LAWB567
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB571,PHD COLLOQUIUM,,https://myplan.uw.edu/course/#/courses/LAWB571
Law B (LAW B),LAW B,https://www.washington.edu/students/timeschd/WIN2021/lawb.html,LAWB572,ELECTION LAW,,https://myplan.uw.edu/course/#/courses/LAWB572
