department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING200,INTRO LINGUISTICS,"VLPA/I&S,QSR",https://myplan.uw.edu/course/#/courses/LING200
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING210,LANGUAGE & THOUGHT,I&S,https://myplan.uw.edu/course/#/courses/LING210
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING234,LANG & DIVERSITY,"I&S,DIV",https://myplan.uw.edu/course/#/courses/LING234
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING400,SUR LING MTHD & THY ,"VLPA/I&S,QSR",https://myplan.uw.edu/course/#/courses/LING400
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING412,JAPANESE SYN & SEM,VLPA,https://myplan.uw.edu/course/#/courses/LING412
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING415,HIST GERMAN LANG,VLPA,https://myplan.uw.edu/course/#/courses/LING415
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING442,LANG PROCESSING 2,I&S,https://myplan.uw.edu/course/#/courses/LING442
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING446,ENGLISH PHONOLOGY,VLPA,https://myplan.uw.edu/course/#/courses/LING446
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING449,SECOND-LANG LRNG,VLPA,https://myplan.uw.edu/course/#/courses/LING449
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING451,PHONOLOGY I,VLPA/I&S,https://myplan.uw.edu/course/#/courses/LING451
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING453,EXPERIMENTAL PHON,VLPA/I&S/NW,https://myplan.uw.edu/course/#/courses/LING453
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING461,SYNTAX I,VLPA/I&S,https://myplan.uw.edu/course/#/courses/LING461
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING462,SYNTAX II,VLPA/I&S,https://myplan.uw.edu/course/#/courses/LING462
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING464,LANGUAGE POLITICS,VLPA/I&S,https://myplan.uw.edu/course/#/courses/LING464
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING479,SEMANTICS II,VLPA/I&S/NW,https://myplan.uw.edu/course/#/courses/LING479
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING480,TOPICS IN LING,VLPA,https://myplan.uw.edu/course/#/courses/LING480
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING481,INTRO TO MORPHOLOGY ,VLPA,https://myplan.uw.edu/course/#/courses/LING481
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING490,FIELDWORK,,https://myplan.uw.edu/course/#/courses/LING490
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/LING499
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING508,SYNTACTIC THEORY II ,,https://myplan.uw.edu/course/#/courses/LING508
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING542,LANG PROCESSING 2,,https://myplan.uw.edu/course/#/courses/LING542
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING548,2ND/FL TEACH CPSTON ,,https://myplan.uw.edu/course/#/courses/LING548
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING549,SECOND LANG LEARN,,https://myplan.uw.edu/course/#/courses/LING549
Linguistics (LING),LING,https://www.washington.edu/students/timeschd/WIN2021/ling.html,LING551,PHONOLOGY I,,https://myplan.uw.edu/course/#/courses/LING551
