department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ200,INTR LAW SOC & JUST ,I&S,https://myplan.uw.edu/course/#/courses/LSJ200
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ301,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/LSJ301
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ310,RESEARCH IN LSJ,I&S,https://myplan.uw.edu/course/#/courses/LSJ310
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ322,HUMAN RIGHTS LAT AM ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/LSJ322
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ327,WOMEN RTS/HUMAN RTS ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/LSJ327
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ346,DISABILITY GLOBAL,"I&S,DIV",https://myplan.uw.edu/course/#/courses/LSJ346
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ360,AM CONST LAW,I&S,https://myplan.uw.edu/course/#/courses/LSJ360
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ377,PUNSHMNT THRY PRACT ,I&S,https://myplan.uw.edu/course/#/courses/LSJ377
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ401,FIELD EXPERNCE LSJ,,https://myplan.uw.edu/course/#/courses/LSJ401
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ431,CIVIL-MILI RELATION ,I&S,https://myplan.uw.edu/course/#/courses/LSJ431
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ433,DISABLTY LAW & PLCY ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/LSJ433
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ489,HONORS IN LSJ,I&S,https://myplan.uw.edu/course/#/courses/LSJ489
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ490,TOPICS LEGAL INSTIT ,I&S,https://myplan.uw.edu/course/#/courses/LSJ490
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ491,TOPICS IN RIGHTS,I&S,https://myplan.uw.edu/course/#/courses/LSJ491
"Law, Societies, and Justice (LSJ)",LSJ,https://www.washington.edu/students/timeschd/WIN2021/lsj.html,LSJ499,READINGS IN LSJ,,https://myplan.uw.edu/course/#/courses/LSJ499
