department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME123,VISUALIZATION & CAD ,VLPA/NW,https://myplan.uw.edu/course/#/courses/ME123
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME124,CAD LAB,VLPA/NW,https://myplan.uw.edu/course/#/courses/ME124
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME230,KINEMATICS & DYNS,NW,https://myplan.uw.edu/course/#/courses/ME230
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME299,INDEPENDENT PROJECT ,,https://myplan.uw.edu/course/#/courses/ME299
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME323,ENGR THERMODYNAMICS ,,https://myplan.uw.edu/course/#/courses/ME323
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME333,INTRO TO FLUID MECH ,,https://myplan.uw.edu/course/#/courses/ME333
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME354,MECH OF MAT LAB,,https://myplan.uw.edu/course/#/courses/ME354
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME355,INTRO MFG PROCESS,,https://myplan.uw.edu/course/#/courses/ME355
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME356,MACHN DESGN ANLYS,,https://myplan.uw.edu/course/#/courses/ME356
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME373,INTRO TO SYST DYN,,https://myplan.uw.edu/course/#/courses/ME373
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME412,BIOMECH MOVEMENT,,https://myplan.uw.edu/course/#/courses/ME412
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME419,BIOMECH SEMINAR,,https://myplan.uw.edu/course/#/courses/ME419
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME425,HVAC,,https://myplan.uw.edu/course/#/courses/ME425
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME450,INTRO COMP MATL DES ,,https://myplan.uw.edu/course/#/courses/ME450
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME470,MECHANICAL VIBRATNS ,,https://myplan.uw.edu/course/#/courses/ME470
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME477,EMBEDDED COMPUTING,,https://myplan.uw.edu/course/#/courses/ME477
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME478,FINTE ELEMENT ANLYS ,,https://myplan.uw.edu/course/#/courses/ME478
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME494,MECHATRONICS PREP,,https://myplan.uw.edu/course/#/courses/ME494
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME495,MECH ENGR DESIGN,,https://myplan.uw.edu/course/#/courses/ME495
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME498,SPEC TPCS MECH ENGR ,,https://myplan.uw.edu/course/#/courses/ME498
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME499,SPECIAL PROJECTS,,https://myplan.uw.edu/course/#/courses/ME499
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME507,INCOMP FLUID MECH,,https://myplan.uw.edu/course/#/courses/ME507
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME512,BIOMECH MOVEMENT,,https://myplan.uw.edu/course/#/courses/ME512
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME515,LIFE CYCLE ASSESS,,https://myplan.uw.edu/course/#/courses/ME515
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME519,BIOMECH SEMINAR,,https://myplan.uw.edu/course/#/courses/ME519
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME520,SEMINAR,,https://myplan.uw.edu/course/#/courses/ME520
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME521,THERMODYNAMICS,,https://myplan.uw.edu/course/#/courses/ME521
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME525,APPLIED ACOUSTICS,,https://myplan.uw.edu/course/#/courses/ME525
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME531,CONDUCT HEAT TRANS,,https://myplan.uw.edu/course/#/courses/ME531
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME535,COMPT TECHN MECH E,,https://myplan.uw.edu/course/#/courses/ME535
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME539,RENEWABLE ENERGY I,,https://myplan.uw.edu/course/#/courses/ME539
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME556,EXP STRESS ANLYS I,,https://myplan.uw.edu/course/#/courses/ME556
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME559,INTRO FRACT MECH,,https://myplan.uw.edu/course/#/courses/ME559
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME565,MECHNCL ENGR ANLYS,,https://myplan.uw.edu/course/#/courses/ME565
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME578,CONVEX OPTIMIZATION ,,https://myplan.uw.edu/course/#/courses/ME578
Mechanical Engineering (M E),M E,https://www.washington.edu/students/timeschd/WIN2021/meche.html,ME598,GRAD PROJECTS,,https://myplan.uw.edu/course/#/courses/ME598
