department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM606P,P-EMER MED HMC/UW,,https://myplan.uw.edu/course/#/courses/MEDEM606P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM607P,P-EMER MED MADIGAN,,https://myplan.uw.edu/course/#/courses/MEDEM607P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM608P,P-EMER MED SWD CH,,https://myplan.uw.edu/course/#/courses/MEDEM608P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM609,EMER MED SCH,,https://myplan.uw.edu/course/#/courses/MEDEM609
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM615P,P-EMER MED VA,,https://myplan.uw.edu/course/#/courses/MEDEM615P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM616,EMER MED WENATCHEE,,https://myplan.uw.edu/course/#/courses/MEDEM616
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM617P,P-EMER MED OLY,,https://myplan.uw.edu/course/#/courses/MEDEM617P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM618P,P-EMER MED OLY,,https://myplan.uw.edu/course/#/courses/MEDEM618P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM619,EMER MED TACOMA,,https://myplan.uw.edu/course/#/courses/MEDEM619
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM625P,P-EMER MED SPOKANE,,https://myplan.uw.edu/course/#/courses/MEDEM625P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM626P,P-EMER MED SPO DEAC ,,https://myplan.uw.edu/course/#/courses/MEDEM626P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM627,EMER MED SPOK VALLEY,,https://myplan.uw.edu/course/#/courses/MEDEM627
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM645P,P-EMER MED BOISE SL ,,https://myplan.uw.edu/course/#/courses/MEDEM645P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM646P,P-EMER MED ST ALP,,https://myplan.uw.edu/course/#/courses/MEDEM646P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM647P,P-EMER MED POCATELLO,,https://myplan.uw.edu/course/#/courses/MEDEM647P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM648P,P-EMER MED IF,,https://myplan.uw.edu/course/#/courses/MEDEM648P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM656P,P-EMER MED JUNEAU,,https://myplan.uw.edu/course/#/courses/MEDEM656P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM657P,P-EMER MED FAIRBANKS,,https://myplan.uw.edu/course/#/courses/MEDEM657P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM658P,P-EMER MED ANCH,,https://myplan.uw.edu/course/#/courses/MEDEM658P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM662P,P-EMER MED BOZEMAN,,https://myplan.uw.edu/course/#/courses/MEDEM662P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM663P,P-EMER MED BILLINGS ,,https://myplan.uw.edu/course/#/courses/MEDEM663P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM664P,P-EMER MED GREATFALL,,https://myplan.uw.edu/course/#/courses/MEDEM664P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM665,EMER MED MISSOULA,,https://myplan.uw.edu/course/#/courses/MEDEM665
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM668P,P-EMER MED CASPER,,https://myplan.uw.edu/course/#/courses/MEDEM668P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM669P,P-EMER MED CHEY,,https://myplan.uw.edu/course/#/courses/MEDEM669P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM681P,P-EM MED SI HMC/UWMC,,https://myplan.uw.edu/course/#/courses/MEDEM681P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM697P,P-MED SPEC ELEC,,https://myplan.uw.edu/course/#/courses/MEDEM697P
Emergency Medicine (MED EM),MED EM,https://www.washington.edu/students/timeschd/WIN2021/medem.html,MEDEM699P,P-MED WWAMI ELEC,,https://myplan.uw.edu/course/#/courses/MEDEM699P
