department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH495,SPECIAL STUDIES,,https://myplan.uw.edu/course/#/courses/MEDCH495
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/MEDCH499
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH501,MED BIOCHEM,,https://myplan.uw.edu/course/#/courses/MEDCH501
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH520,SEMINAR,,https://myplan.uw.edu/course/#/courses/MEDCH520
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH527,DRUG METABOLISM,,https://myplan.uw.edu/course/#/courses/MEDCH527
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH533,CHEM MOLEC PHCOL II ,,https://myplan.uw.edu/course/#/courses/MEDCH533
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH551,OXYGENASES MED CHEM ,,https://myplan.uw.edu/course/#/courses/MEDCH551
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH552,DRUG ACTION METAB,,https://myplan.uw.edu/course/#/courses/MEDCH552
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH554,BIO & STRUCT VIROL,,https://myplan.uw.edu/course/#/courses/MEDCH554
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH555,BIOP PHARM DYN PROT ,,https://myplan.uw.edu/course/#/courses/MEDCH555
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH556,CLIN MECH DRG METB,,https://myplan.uw.edu/course/#/courses/MEDCH556
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH557,ANTI INTER,,https://myplan.uw.edu/course/#/courses/MEDCH557
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH559,BIOSYN MET ANLY LIP ,,https://myplan.uw.edu/course/#/courses/MEDCH559
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH582,TOPICS IN MED CHEM,,https://myplan.uw.edu/course/#/courses/MEDCH582
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH599,CUMULATIVE EXAMS,,https://myplan.uw.edu/course/#/courses/MEDCH599
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/MEDCH600
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/MEDCH700
Medicinal Chemistry (MEDCH),MEDCH,https://www.washington.edu/students/timeschd/WIN2021/medchem.html,MEDCH800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/MEDCH800
