department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK601P,P-WD MED SUB I SEA,,https://myplan.uw.edu/course/#/courses/MEDECK601P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK602P,P-PRIMARY CARE SEA,,https://myplan.uw.edu/course/#/courses/MEDECK602P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK603P,P-CARD/ELEC SEA,,https://myplan.uw.edu/course/#/courses/MEDECK603P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK604P,P-DERM SEA,,https://myplan.uw.edu/course/#/courses/MEDECK604P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK605P,P-ENDO/MET SEA,,https://myplan.uw.edu/course/#/courses/MEDECK605P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK606P,P-GASTRO SEA,,https://myplan.uw.edu/course/#/courses/MEDECK606P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK607P,P-HEM/ONC SEA,,https://myplan.uw.edu/course/#/courses/MEDECK607P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK608P,P-INF DIS SEA,,https://myplan.uw.edu/course/#/courses/MEDECK608P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK609P,P-NEPH SEA,,https://myplan.uw.edu/course/#/courses/MEDECK609P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK610P,P-CLN RESP DISEASES ,,https://myplan.uw.edu/course/#/courses/MEDECK610P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK611,ADV INPT GERIATRICS ,,https://myplan.uw.edu/course/#/courses/MEDECK611
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK612P,P-HIV CARE SEA,,https://myplan.uw.edu/course/#/courses/MEDECK612P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK613,WOMEN'S PRIMARY CARE,,https://myplan.uw.edu/course/#/courses/MEDECK613
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK614,ONCOLOGY SUBI,,https://myplan.uw.edu/course/#/courses/MEDECK614
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK615P,P-RHEUM SEA,,https://myplan.uw.edu/course/#/courses/MEDECK615P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK617P,P-HMC EVE CLINIC SEA,,https://myplan.uw.edu/course/#/courses/MEDECK617P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK618P,P-MED CONSULT SEA,,https://myplan.uw.edu/course/#/courses/MEDECK618P
Medicine Elective Clerkships (MEDECK),MEDECK,https://www.washington.edu/students/timeschd/WIN2021/medeck.html,MEDECK619P,P-MGT SEX DIS SEA,,https://myplan.uw.edu/course/#/courses/MEDECK619P
