department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK601P,P-CL CLERKSHIPS,,https://myplan.uw.edu/course/#/courses/MEDRCK601P
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK608,CLK SEA-TACOMA,,https://myplan.uw.edu/course/#/courses/MEDRCK608
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK612P,P-CLK SEA-MAD,,https://myplan.uw.edu/course/#/courses/MEDRCK612P
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK614P,P-CLK SEA-MON,,https://myplan.uw.edu/course/#/courses/MEDRCK614P
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK615P,P-CLK SEA-LONGVIEW,,https://myplan.uw.edu/course/#/courses/MEDRCK615P
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK616P,P-CLK SEA-OLY,,https://myplan.uw.edu/course/#/courses/MEDRCK616P
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK617P,P-CLK SEA-PT,,https://myplan.uw.edu/course/#/courses/MEDRCK617P
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK618P,P-LIC MED,,https://myplan.uw.edu/course/#/courses/MEDRCK618P
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK621P,P-CLK SPOKANE,,https://myplan.uw.edu/course/#/courses/MEDRCK621P
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK622P,P-CLK PUL-SPO,,https://myplan.uw.edu/course/#/courses/MEDRCK622P
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK623P,P-CLK SEA-SPOKANE,,https://myplan.uw.edu/course/#/courses/MEDRCK623P
Medicine Required Clerkships (MEDRCK),MEDRCK,https://www.washington.edu/students/timeschd/WIN2021/medrck.html,MEDRCK624P,P-CLK SEA-WEN,,https://myplan.uw.edu/course/#/courses/MEDRCK624P
