department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI504,FOUNDATION CLIN MED ,,https://myplan.uw.edu/course/#/courses/MEDSCI504
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI511,MCBD IND STUDY REM,,https://myplan.uw.edu/course/#/courses/MEDSCI511
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI521,INV IND STUDY REM,,https://myplan.uw.edu/course/#/courses/MEDSCI521
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI525,THEME MED FOUND2,,https://myplan.uw.edu/course/#/courses/MEDSCI525
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI530P,P-CIRCU SYSTEMS,,https://myplan.uw.edu/course/#/courses/MEDSCI530P
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI531,CIRC IND STUDY REM,,https://myplan.uw.edu/course/#/courses/MEDSCI531
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI541,BC MSK IND STUDY REM,,https://myplan.uw.edu/course/#/courses/MEDSCI541
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI551,ENERGET IND STDY REM,,https://myplan.uw.edu/course/#/courses/MEDSCI551
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI561,MBB IND STUDY REM,,https://myplan.uw.edu/course/#/courses/MEDSCI561
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI571,LIFE IND STUDY REM,,https://myplan.uw.edu/course/#/courses/MEDSCI571
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI579,COMP BASIC SCI REV,,https://myplan.uw.edu/course/#/courses/MEDSCI579
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI581P,P-FOUND CAPSTONE,,https://myplan.uw.edu/course/#/courses/MEDSCI581P
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI582P,P-CONSOLIDATION,,https://myplan.uw.edu/course/#/courses/MEDSCI582P
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI583P,P-TRANSITION CLERK,,https://myplan.uw.edu/course/#/courses/MEDSCI583P
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI584,FCM IND STDY REM,,https://myplan.uw.edu/course/#/courses/MEDSCI584
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI585,RM IND STDY,,https://myplan.uw.edu/course/#/courses/MEDSCI585
Medical Science (MEDSCI),MEDSCI,https://www.washington.edu/students/timeschd/WIN2021/medsci.html,MEDSCI586,CNT IND STUDY REM,,https://myplan.uw.edu/course/#/courses/MEDSCI586
