department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM411,BACTERIAL GENETICS,NW,https://myplan.uw.edu/course/#/courses/MICROM411
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM431,RECOMB DNA TECH,NW,https://myplan.uw.edu/course/#/courses/MICROM431
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM442,MED BACTERIOLOGY,NW,https://myplan.uw.edu/course/#/courses/MICROM442
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM443,MED BACTERIOLOGY LAB,NW,https://myplan.uw.edu/course/#/courses/MICROM443
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM482,PEER TEACHING,,https://myplan.uw.edu/course/#/courses/MICROM482
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM495,HONORS UNDERGR RSCH ,,https://myplan.uw.edu/course/#/courses/MICROM495
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM496,UNDERGRAD LIBR RSCH ,,https://myplan.uw.edu/course/#/courses/MICROM496
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM499,UNDERGRAD LAB RSRCH ,,https://myplan.uw.edu/course/#/courses/MICROM499
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM500,INTRO TO RESEARCH,,https://myplan.uw.edu/course/#/courses/MICROM500
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM520,SEMINAR,,https://myplan.uw.edu/course/#/courses/MICROM520
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM522,CURR RES MICRO,,https://myplan.uw.edu/course/#/courses/MICROM522
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM534,BACT PATHOGENESIS,,https://myplan.uw.edu/course/#/courses/MICROM534
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM555,ADV CLINICAL MICRO,,https://myplan.uw.edu/course/#/courses/MICROM555
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/MICROM600
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/MICROM700
Microbiology (MICROM),MICROM,https://www.washington.edu/students/timeschd/WIN2021/microbio.html,MICROM800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/MICROM800
