department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Music - Applied (MUSAP),MUSAP,https://www.washington.edu/students/timeschd/WIN2021/appmus.html,MUSAP133,BASIC KEYBOARD,VLPA,https://myplan.uw.edu/course/#/courses/MUSAP133
Music - Applied (MUSAP),MUSAP,https://www.washington.edu/students/timeschd/WIN2021/appmus.html,MUSAP134,BASIC KEYBOARD,VLPA,https://myplan.uw.edu/course/#/courses/MUSAP134
Music - Applied (MUSAP),MUSAP,https://www.washington.edu/students/timeschd/WIN2021/appmus.html,MUSAP135,BASIC KEYBOARD,VLPA,https://myplan.uw.edu/course/#/courses/MUSAP135
Music - Applied (MUSAP),MUSAP,https://www.washington.edu/students/timeschd/WIN2021/appmus.html,MUSAP205,STRING TECHNIQUES,VLPA,https://myplan.uw.edu/course/#/courses/MUSAP205
Music - Applied (MUSAP),MUSAP,https://www.washington.edu/students/timeschd/WIN2021/appmus.html,MUSAP210,WIND TECHNIQUES,VLPA,https://myplan.uw.edu/course/#/courses/MUSAP210
Music - Applied (MUSAP),MUSAP,https://www.washington.edu/students/timeschd/WIN2021/appmus.html,MUSAP218,GUITAR TECHNIQUES,VLPA,https://myplan.uw.edu/course/#/courses/MUSAP218
Music - Applied (MUSAP),MUSAP,https://www.washington.edu/students/timeschd/WIN2021/appmus.html,MUSAP233,SECONDARY PIANO,VLPA,https://myplan.uw.edu/course/#/courses/MUSAP233
Music - Applied (MUSAP),MUSAP,https://www.washington.edu/students/timeschd/WIN2021/appmus.html,MUSAP234,SECONDARY PIANO,VLPA,https://myplan.uw.edu/course/#/courses/MUSAP234
Music - Applied (MUSAP),MUSAP,https://www.washington.edu/students/timeschd/WIN2021/appmus.html,MUSAP235,SECONDARY PIANO,VLPA,https://myplan.uw.edu/course/#/courses/MUSAP235
Music - Applied (MUSAP),MUSAP,https://www.washington.edu/students/timeschd/WIN2021/appmus.html,MUSAP239,SECONDARY PIANO,VLPA,https://myplan.uw.edu/course/#/courses/MUSAP239
