department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN100,UNIVERSITY SINGERS,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN100
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN110,BEGINNING STEELBAND ,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN110
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN200,MEN'S GLEE CLUB,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN200
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN201,WOMEN'S CHORUS,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN201
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN210,CAMPUS PHL ORCHSTRA ,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN210
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN300,UW SYMPHONY,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN300
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN301,WIND ENSEMBLE,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN301
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN302,SYMPHONIC BAND,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN302
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN304,PERCUSSION ENSEMBLE ,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN304
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN305,BRASS ENSEMBLE,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN305
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN306,WOODWIND ENSEMBLE,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN306
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN307,RECITAL CHOIR,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN307
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN308,GUITAR ENSEMBLE,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN308
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN309,CONCERT BAND,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN309
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN325,ACCOMPANYING,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN325
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN345,JAZZ WORKSHOP,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN345
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN350,UNIVERSITY CHORALE,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN350
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN351,CHAMBER SINGERS,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN351
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN368,HARP ENSEMBLE,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN368
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN369,BAROQUE CHAMBER ENS ,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN369
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN375,OPERA WORKSHOP,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN375
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN381,CHAMBER MUSIC,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN381
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN383,COLLEGIUM MUSICUM,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN383
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN384,MODERN ENSEMBLE,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN384
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN389,WRLD MUSIC ENSEMBLE ,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN389
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN410,STEELBAND,VLPA,https://myplan.uw.edu/course/#/courses/MUSEN410
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN500,UW SYMPHONY,,https://myplan.uw.edu/course/#/courses/MUSEN500
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN501,WIND ENSEMBLE,,https://myplan.uw.edu/course/#/courses/MUSEN501
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN502,SYMPHONIC BAND,,https://myplan.uw.edu/course/#/courses/MUSEN502
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN504,PERCUSSION ENSEMBLE ,,https://myplan.uw.edu/course/#/courses/MUSEN504
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN505,BRASS ENSEMBLE,,https://myplan.uw.edu/course/#/courses/MUSEN505
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN506,WOODWIND ENSEMBLE,,https://myplan.uw.edu/course/#/courses/MUSEN506
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN507,RECITAL CHOIR,,https://myplan.uw.edu/course/#/courses/MUSEN507
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN508,GUITAR ENSEMBLE,,https://myplan.uw.edu/course/#/courses/MUSEN508
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN509,CONCERT BAND,,https://myplan.uw.edu/course/#/courses/MUSEN509
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN525,ACCOMPANYING,,https://myplan.uw.edu/course/#/courses/MUSEN525
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN545,JAZZ WORKSHOP,,https://myplan.uw.edu/course/#/courses/MUSEN545
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN546,STUDIO JAZZ ENSBLE,,https://myplan.uw.edu/course/#/courses/MUSEN546
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN550,UNIVERSITY CHORALE,,https://myplan.uw.edu/course/#/courses/MUSEN550
Music Ensemble (MUSEN),MUSEN,https://www.washington.edu/students/timeschd/WIN2021/musensem.html,MUSEN551,CHAMBER SINGERS,,https://myplan.uw.edu/course/#/courses/MUSEN551
