department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC116,ELEM MUSIC THEORY,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC116
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC120,SURVEY OF MUSIC,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC120
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC131,HISTORY OF JAZZ,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC131
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC160,AMERICAN FOLK MUSIC ,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC160
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC162,AMER POP SONG,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC162
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC185,THE CONCERT SEASON,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC185
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC201,1ST YEAR THEORY I,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC201
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC217,INTRODUCTORY COMP,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC217
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC240,REEDMAKING,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC240
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC301,2ND YR THEORY I,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC301
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC304,2ND YR EAR TRN I,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC304
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC327,REPERTOIRE,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC327
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC351,CHORAL CONDUCTING,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC351
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC379,JUNIOR RECITAL,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC379
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC381,INSTRMNTL CONDUCTNG ,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC381
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC391,COMPOSITION,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC391
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC412,FREE IMP JZ COMP 2,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC412
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC434,PEDAGOGY,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC434
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC435,PEDAGOGY,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC435
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC437,STUDIO CLASS,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC437
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC443,MUSIC AND COMMUNITY ,VLPA,https://myplan.uw.edu/course/#/courses/MUSIC443
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC445,SEL TOPICS IN ETHNO ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/MUSIC445
Music (MUSIC),MUSIC,https://www.washington.edu/students/timeschd/WIN2021/music.html,MUSIC449,ADVANCED PIANO REP,VLPA/I&S,https://myplan.uw.edu/course/#/courses/MUSIC449
