department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE201,ANCIENT NEAR EAST,VLPA/I&S,https://myplan.uw.edu/course/#/courses/NEARE201
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE229,ISLAMIC CIVILZATION ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/NEARE229
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE288,HORN OF AFRICA,"I&S,DIV",https://myplan.uw.edu/course/#/courses/NEARE288
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE296,SPECIAL STUDIES,I&S,https://myplan.uw.edu/course/#/courses/NEARE296
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE312,MID EAST DEST HERIT ,I&S,https://myplan.uw.edu/course/#/courses/NEARE312
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE328,BIOETHICS PERSP,"I&S,DIV",https://myplan.uw.edu/course/#/courses/NEARE328
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE329,CLAS ARAB LIT TRANS ,VLPA,https://myplan.uw.edu/course/#/courses/NEARE329
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE335,LANGUAGE IDENTITY,VLPA/I&S,https://myplan.uw.edu/course/#/courses/NEARE335
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE358,ISLAM IN CHINA,I&S,https://myplan.uw.edu/course/#/courses/NEARE358
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE429,ISLAMIC MYSTIC LIT,VLPA,https://myplan.uw.edu/course/#/courses/NEARE429
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE430,CLAS MUSLIM WRITING ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/NEARE430
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE490,SUPERVISED STUDY,,https://myplan.uw.edu/course/#/courses/NEARE490
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE498,SENIOR ESSAY,VLPA/I&S,https://myplan.uw.edu/course/#/courses/NEARE498
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/NEARE499
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE529,CLAS ARAB LIT TRANS ,,https://myplan.uw.edu/course/#/courses/NEARE529
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE535,LANGUAGE IDENTITY,VLPA/I&S,https://myplan.uw.edu/course/#/courses/NEARE535
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE536,ISLAMIC LAW,,https://myplan.uw.edu/course/#/courses/NEARE536
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE559,ISLAM IN CHINA,,https://myplan.uw.edu/course/#/courses/NEARE559
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/NEARE600
Near Eastern Languages and Civilization (NEAR E),NEAR E,https://www.washington.edu/students/timeschd/WIN2021/neareast.html,NEARE700,MASTER'S THESIS,,https://myplan.uw.edu/course/#/courses/NEARE700
