department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL495,NEURO IMP VOC REHAB ,,https://myplan.uw.edu/course/#/courses/NEURL495
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/NEURL499
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL505P,P-PRECEPT NEUROL,,https://myplan.uw.edu/course/#/courses/NEURL505P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL631P,P-NEURL-CHEYENNE,,https://myplan.uw.edu/course/#/courses/NEURL631P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL632P,P-INT NEURL CASPER,,https://myplan.uw.edu/course/#/courses/NEURL632P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL633P,P-NEURL-ANC AK,,https://myplan.uw.edu/course/#/courses/NEURL633P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL634P,P-NEURL-ANMC AK,,https://myplan.uw.edu/course/#/courses/NEURL634P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL636P,P-INT NUERL KLSPL,,https://myplan.uw.edu/course/#/courses/NEURL636P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL637P,P-INT NEURL-MISSOU1 ,,https://myplan.uw.edu/course/#/courses/NEURL637P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL638P,P-INT NEURL-GRTFLLS ,,https://myplan.uw.edu/course/#/courses/NEURL638P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL639P,P-NEURL-BLLNG RNC,,https://myplan.uw.edu/course/#/courses/NEURL639P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL640P,P-INT NEURL-BLLNGS1 ,,https://myplan.uw.edu/course/#/courses/NEURL640P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL641P,P-NEURL-BOZEMAN,,https://myplan.uw.edu/course/#/courses/NEURL641P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL642P,P-INTRO NEURL-STLUKE,,https://myplan.uw.edu/course/#/courses/NEURL642P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL643P,P-INT NEURL-BOISE2,,https://myplan.uw.edu/course/#/courses/NEURL643P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL644P,P-NEURL-IDFLLS EINA ,,https://myplan.uw.edu/course/#/courses/NEURL644P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL645P,P-NEURL-ID FALLS,,https://myplan.uw.edu/course/#/courses/NEURL645P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL647P,P-NEURL-BOISE ST ALF,,https://myplan.uw.edu/course/#/courses/NEURL647P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL648P,P-NEURL-COEURDALENE ,,https://myplan.uw.edu/course/#/courses/NEURL648P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL649P,P-INT NEURL ST JO,,https://myplan.uw.edu/course/#/courses/NEURL649P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL650P,P-INT NEURL LACEY,,https://myplan.uw.edu/course/#/courses/NEURL650P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL651P,P-ING NEURL KIRK,,https://myplan.uw.edu/course/#/courses/NEURL651P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL652P,P-INT NEURL ROCKW,,https://myplan.uw.edu/course/#/courses/NEURL652P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL653P,P-ING NEURL SPCMA,,https://myplan.uw.edu/course/#/courses/NEURL653P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL654P,P-INT NEURL-SELKIRK ,,https://myplan.uw.edu/course/#/courses/NEURL654P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL655P,P-INT NEURL-SPOK,,https://myplan.uw.edu/course/#/courses/NEURL655P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL656P,P-INT NEURL-WENATCH ,,https://myplan.uw.edu/course/#/courses/NEURL656P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL657P,P-NEURL-YAKIMA,,https://myplan.uw.edu/course/#/courses/NEURL657P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL658P,P-INT NEURL-OLYNEUR ,,https://myplan.uw.edu/course/#/courses/NEURL658P
Neurology (NEURL),NEURL,https://www.washington.edu/students/timeschd/WIN2021/neurl.html,NEURL659P,P-INT NEURL-LKWOOD,,https://myplan.uw.edu/course/#/courses/NEURL659P
