department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Neuroscience (NEURO),NEURO,https://www.washington.edu/students/timeschd/WIN2021/neuro.html,NEURO502,INTRO NEUROBIOLOGY,,https://myplan.uw.edu/course/#/courses/NEURO502
Neuroscience (NEURO),NEURO,https://www.washington.edu/students/timeschd/WIN2021/neuro.html,NEURO510,SMNR NEURO & BEHAV,,https://myplan.uw.edu/course/#/courses/NEURO510
Neuroscience (NEURO),NEURO,https://www.washington.edu/students/timeschd/WIN2021/neuro.html,NEURO512,READINGS ADV NEUBEH ,,https://myplan.uw.edu/course/#/courses/NEURO512
Neuroscience (NEURO),NEURO,https://www.washington.edu/students/timeschd/WIN2021/neuro.html,NEURO515,NB TEACH PRACTICUM,,https://myplan.uw.edu/course/#/courses/NEURO515
Neuroscience (NEURO),NEURO,https://www.washington.edu/students/timeschd/WIN2021/neuro.html,NEURO526,NEUROBIOL LAB RSRCH ,,https://myplan.uw.edu/course/#/courses/NEURO526
Neuroscience (NEURO),NEURO,https://www.washington.edu/students/timeschd/WIN2021/neuro.html,NEURO527,CURRENT TOPICS,,https://myplan.uw.edu/course/#/courses/NEURO527
Neuroscience (NEURO),NEURO,https://www.washington.edu/students/timeschd/WIN2021/neuro.html,NEURO545,QUANT METH NEUROSCI ,,https://myplan.uw.edu/course/#/courses/NEURO545
Neuroscience (NEURO),NEURO,https://www.washington.edu/students/timeschd/WIN2021/neuro.html,NEURO600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/NEURO600
Neuroscience (NEURO),NEURO,https://www.washington.edu/students/timeschd/WIN2021/neuro.html,NEURO700,MASTER'S THESIS,,https://myplan.uw.edu/course/#/courses/NEURO700
Neuroscience (NEURO),NEURO,https://www.washington.edu/students/timeschd/WIN2021/neuro.html,NEURO800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/NEURO800
