department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH450,"INFMX, PT SFTY & QI ",,https://myplan.uw.edu/course/#/courses/NMETH450
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/NMETH499
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH524,HEALTH SYS & EHR,,https://myplan.uw.edu/course/#/courses/NMETH524
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH528,COMPUTING FUNDAMENT ,,https://myplan.uw.edu/course/#/courses/NMETH528
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH535,NURSING INQUIRY,,https://myplan.uw.edu/course/#/courses/NMETH535
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH583,ADV QUAL RES MTHDS,,https://myplan.uw.edu/course/#/courses/NMETH583
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH594,HLTH SERVIC DELIVER ,,https://myplan.uw.edu/course/#/courses/NMETH594
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH598,SPECIAL PROJECTS,,https://myplan.uw.edu/course/#/courses/NMETH598
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/NMETH600
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH610,RESEARCH PRACTICUM,,https://myplan.uw.edu/course/#/courses/NMETH610
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/NMETH700
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/NMETH800
Nursing Methods (NMETH),NMETH,https://www.washington.edu/students/timeschd/WIN2021/nursingmeth.html,NMETH801,DOCTORATE PROJECT,,https://myplan.uw.edu/course/#/courses/NMETH801
