department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS201,LIFESPAN GROWTH,I&S,https://myplan.uw.edu/course/#/courses/NURS201
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS210,"SCI, EVID, HEALTH",NW,https://myplan.uw.edu/course/#/courses/NURS210
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS301,GENERAL ANATOMY,NW,https://myplan.uw.edu/course/#/courses/NURS301
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS401,CARE IN ILLNESS I,,https://myplan.uw.edu/course/#/courses/NURS401
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS415,CARE CHILDBEAR/FAM,,https://myplan.uw.edu/course/#/courses/NURS415
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS425,HEALTH EQUITY,,https://myplan.uw.edu/course/#/courses/NURS425
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS431,CHILDHEALTH,,https://myplan.uw.edu/course/#/courses/NURS431
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS445,SPEC TOP NSG,,https://myplan.uw.edu/course/#/courses/NURS445
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS499,SPECIAL ELECTIVES,,https://myplan.uw.edu/course/#/courses/NURS499
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS501,CHILD MENTAL HEALTH ,,https://myplan.uw.edu/course/#/courses/NURS501
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS518,CHILD MGT I: ACUTE,,https://myplan.uw.edu/course/#/courses/NURS518
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS525,MNG QI ACCESS UTIL,,https://myplan.uw.edu/course/#/courses/NURS525
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS539,MGMT ACUTE ILL I,,https://myplan.uw.edu/course/#/courses/NURS539
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS540,SPECIAL TOP IN BNHS ,,https://myplan.uw.edu/course/#/courses/NURS540
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS546,INTERPERSONAL THERAP,,https://myplan.uw.edu/course/#/courses/NURS546
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS547,NEURO BASIS PMH,,https://myplan.uw.edu/course/#/courses/NURS547
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS587,LEADERSHIP SEM,,https://myplan.uw.edu/course/#/courses/NURS587
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS589,THEORY & EVIDENCE,,https://myplan.uw.edu/course/#/courses/NURS589
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS599,SEL RDGS IN NSG SCI ,,https://myplan.uw.edu/course/#/courses/NURS599
Nursing (NURS),NURS,https://www.washington.edu/students/timeschd/WIN2021/nursing.html,NURS610,TEACHING PRACTICUM,,https://myplan.uw.edu/course/#/courses/NURS610
