department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR200,NUTRITION,NW,https://myplan.uw.edu/course/#/courses/NUTR200
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR241,CULINARY NUTR SCI,NW,https://myplan.uw.edu/course/#/courses/NUTR241
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR290,NUTR TOPICS,,https://myplan.uw.edu/course/#/courses/NUTR290
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR303,FOOD SYSTEMS II,I&S/NW,https://myplan.uw.edu/course/#/courses/NUTR303
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR400,FOOD SYSTEMS SEMINAR,I&S,https://myplan.uw.edu/course/#/courses/NUTR400
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR405,PHYS ACTIV IN H & D ,NW,https://myplan.uw.edu/course/#/courses/NUTR405
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR412,FOOD SYSTEMS POLICY ,I&S,https://myplan.uw.edu/course/#/courses/NUTR412
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR446,FOOD SAFETY,,https://myplan.uw.edu/course/#/courses/NUTR446
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR495,UG INTERNSHIP,,https://myplan.uw.edu/course/#/courses/NUTR495
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR499,U-G RES,,https://myplan.uw.edu/course/#/courses/NUTR499
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR500,FOOD SYSTEMS SEMINAR,,https://myplan.uw.edu/course/#/courses/NUTR500
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR505,PHYS ACTIV IN H & D ,,https://myplan.uw.edu/course/#/courses/NUTR505
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR512,FOOD SYSTEMS POLICY ,,https://myplan.uw.edu/course/#/courses/NUTR512
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR521,NUTR-METAB II,,https://myplan.uw.edu/course/#/courses/NUTR521
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR532,FLDWK PUB HLTH NUTR ,,https://myplan.uw.edu/course/#/courses/NUTR532
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR536,NUTRITION EDUCATION ,,https://myplan.uw.edu/course/#/courses/NUTR536
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR537,LABORATORY ROTATION ,,https://myplan.uw.edu/course/#/courses/NUTR537
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR561,PRACTICE EXPERIENCE ,,https://myplan.uw.edu/course/#/courses/NUTR561
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR590,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/NUTR590
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR595,MASTERS PRACTICUM,,https://myplan.uw.edu/course/#/courses/NUTR595
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR596,NUTR CAPSTONE,,https://myplan.uw.edu/course/#/courses/NUTR596
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/NUTR600
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/NUTR700
Nutritional Science (NUTR),NUTR,https://www.washington.edu/students/timeschd/WIN2021/nutrit.html,NUTR800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/NUTR800
