department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/OBGYN498
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/OBGYN499
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN505P,P-OB GYN PRECEPTSHP ,,https://myplan.uw.edu/course/#/courses/OBGYN505P
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN550P,P-PREG TERM ISSUES,,https://myplan.uw.edu/course/#/courses/OBGYN550P
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN551,PERINATAL CARE ELECT,,https://myplan.uw.edu/course/#/courses/OBGYN551
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN579P,P-OB&GYN INVESTIGA,,https://myplan.uw.edu/course/#/courses/OBGYN579P
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN598,OB GYN IND STDY REM ,,https://myplan.uw.edu/course/#/courses/OBGYN598
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN626,MATERNAL FETAL MED,,https://myplan.uw.edu/course/#/courses/OBGYN626
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN627,OB GYN- REI,,https://myplan.uw.edu/course/#/courses/OBGYN627
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN628P,P- OB GY ELECT CEDAR,,https://myplan.uw.edu/course/#/courses/OBGYN628P
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN629P,P-OB GY CLK WASILLA ,,https://myplan.uw.edu/course/#/courses/OBGYN629P
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN630P,P-WRITE OBG CLN CLK ,,https://myplan.uw.edu/course/#/courses/OBGYN630P
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN632P,P-OBGY-BELLINGHAM,,https://myplan.uw.edu/course/#/courses/OBGYN632P
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN633P,P-OB GYN SPO RKWD,,https://myplan.uw.edu/course/#/courses/OBGYN633P
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN634P,P-OB GYN OLY LIC,,https://myplan.uw.edu/course/#/courses/OBGYN634P
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN635P,P-OB GY GRT FLS,,https://myplan.uw.edu/course/#/courses/OBGYN635P
Obstetrics and Gynecology (OB GYN),OB GYN,https://www.washington.edu/students/timeschd/WIN2021/obgyn.html,OBGYN638P,P-GYN PLND PRTHD SPO,,https://myplan.uw.edu/course/#/courses/OBGYN638P
