department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN102,THE CHANGING OCEANS ,I&S/NW,https://myplan.uw.edu/course/#/courses/OCEAN102
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN121,DEEP SEA VENTS,NW,https://myplan.uw.edu/course/#/courses/OCEAN121
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN270,AQUATIC ECOPHYSLGY,NW,https://myplan.uw.edu/course/#/courses/OCEAN270
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN295,MARINE ORG CHEM,NW,https://myplan.uw.edu/course/#/courses/OCEAN295
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN320,COASTAL OCEAN,NW,https://myplan.uw.edu/course/#/courses/OCEAN320
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN431,SPEC TOP BIOL OCEAN ,NW,https://myplan.uw.edu/course/#/courses/OCEAN431
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN444,SNR THESIS RESEARCH ,,https://myplan.uw.edu/course/#/courses/OCEAN444
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN445,SNR THESIS:ANALYSIS ,NW,https://myplan.uw.edu/course/#/courses/OCEAN445
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN450,CLIMATIC EXTREMES,NW,https://myplan.uw.edu/course/#/courses/OCEAN450
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN475,CLMT SCI RSRCH SMNR ,,https://myplan.uw.edu/course/#/courses/OCEAN475
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN477,MARINE BIOL SEMINAR ,NW,https://myplan.uw.edu/course/#/courses/OCEAN477
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN479,MARINE BIO RESEARCH ,,https://myplan.uw.edu/course/#/courses/OCEAN479
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN480,OCEAN CULTURE,I&S/NW,https://myplan.uw.edu/course/#/courses/OCEAN480
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN494,FIELD EXP: OCEAN,NW,https://myplan.uw.edu/course/#/courses/OCEAN494
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN496,STUDY ABROAD: OCEAN ,NW,https://myplan.uw.edu/course/#/courses/OCEAN496
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN497,ADV SPEC TOP: OCEAN ,,https://myplan.uw.edu/course/#/courses/OCEAN497
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/OCEAN499
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN506,INTERDISCIPL OCEAN,,https://myplan.uw.edu/course/#/courses/OCEAN506
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN512,GEOPHYS FLUID DYN I ,,https://myplan.uw.edu/course/#/courses/OCEAN512
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN518,SCIENTIFIC WRITING,,https://myplan.uw.edu/course/#/courses/OCEAN518
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN529,SMNR IN CHEM OCEAN,,https://myplan.uw.edu/course/#/courses/OCEAN529
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN530,MAR BACTRA &VIRUSES ,,https://myplan.uw.edu/course/#/courses/OCEAN530
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN535,BIOL OCEANOGRAPHY,,https://myplan.uw.edu/course/#/courses/OCEAN535
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN539,SMNR IN BIOL OCEAN,,https://myplan.uw.edu/course/#/courses/OCEAN539
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN549,SMNR GEO/GPHY OCEAN ,,https://myplan.uw.edu/course/#/courses/OCEAN549
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN569,TPCS PHYSICAL OCEAN ,,https://myplan.uw.edu/course/#/courses/OCEAN569
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN586,CLIMATE SEMINAR,,https://myplan.uw.edu/course/#/courses/OCEAN586
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN588,CARBON AND CLIMATE,,https://myplan.uw.edu/course/#/courses/OCEAN588
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN589,PALEOCLIMATOLOGY,,https://myplan.uw.edu/course/#/courses/OCEAN589
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN596,CLIMATE CAPSTONE,,https://myplan.uw.edu/course/#/courses/OCEAN596
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/OCEAN600
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/OCEAN700
Oceanography (OCEAN),OCEAN,https://www.washington.edu/students/timeschd/WIN2021/ocean.html,OCEAN800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/OCEAN800
