department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS449,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/OHS449
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS550P,P-DIR STDYS DPHS,,https://myplan.uw.edu/course/#/courses/OHS550P
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS561,ORAL TISSUES,,https://myplan.uw.edu/course/#/courses/OHS561
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS562,OHS TEACHING,,https://myplan.uw.edu/course/#/courses/OHS562
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS569,ADV ORAL MICRO,,https://myplan.uw.edu/course/#/courses/OHS569
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS575,OHS SEMINAR,,https://myplan.uw.edu/course/#/courses/OHS575
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS578,RESEARCH TECHNIQUES ,,https://myplan.uw.edu/course/#/courses/OHS578
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS581,SECR PRC EXCRN GLND ,,https://myplan.uw.edu/course/#/courses/OHS581
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/OHS600
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS650P,P-COMD CLINIC ELECT ,,https://myplan.uw.edu/course/#/courses/OHS650P
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/OHS700
Oral Health Sciences (OHS),OHS,https://www.washington.edu/students/timeschd/WIN2021/ohs.html,OHS800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/OHS800
