department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM404,DECOD AUX DIDACTIC,,https://myplan.uw.edu/course/#/courses/ORALM404
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM460,DECOD AUX CLINIC,,https://myplan.uw.edu/course/#/courses/ORALM460
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM550P,P-DIR STDYS IN O D,,https://myplan.uw.edu/course/#/courses/ORALM550P
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM565,ORAL M CLIN CONF,,https://myplan.uw.edu/course/#/courses/ORALM565
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM570,ORL MED AND THERAPY ,,https://myplan.uw.edu/course/#/courses/ORALM570
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM576,ORAL MED LIT REVIEW ,,https://myplan.uw.edu/course/#/courses/ORALM576
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM581,ADV SEM ORAL RADIOL ,,https://myplan.uw.edu/course/#/courses/ORALM581
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/ORALM600
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM601,ORAL MED RES SMNR,,https://myplan.uw.edu/course/#/courses/ORALM601
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM650P,P-ORALM CLIN ELECT,,https://myplan.uw.edu/course/#/courses/ORALM650P
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM651,HEALTH,,https://myplan.uw.edu/course/#/courses/ORALM651
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM653,ADV CONE BEAM CT,,https://myplan.uw.edu/course/#/courses/ORALM653
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM654,DECOD ADV CLINICAL,,https://myplan.uw.edu/course/#/courses/ORALM654
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM655,PEER MENTOR ORALM,,https://myplan.uw.edu/course/#/courses/ORALM655
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM656,CLIN ORALM AT SCCA,,https://myplan.uw.edu/course/#/courses/ORALM656
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM660,ROTAT IN MED DISCIP ,,https://myplan.uw.edu/course/#/courses/ORALM660
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM664,ADV DECOD CLINICAL,,https://myplan.uw.edu/course/#/courses/ORALM664
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM665,ORAL M CLINIC,,https://myplan.uw.edu/course/#/courses/ORALM665
Oral Medicine (ORALM),ORALM,https://www.washington.edu/students/timeschd/WIN2021/oralm.html,ORALM670,CLIN ORALM TEACH,,https://myplan.uw.edu/course/#/courses/ORALM670
