department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/ORTHP498
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/ORTHP499
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP505P,P-PRECEPT ORTHP,,https://myplan.uw.edu/course/#/courses/ORTHP505P
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP643P,P-GEN ORTHO CODY,,https://myplan.uw.edu/course/#/courses/ORTHP643P
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP644P,P-GEN CLKSH JACKSON ,,https://myplan.uw.edu/course/#/courses/ORTHP644P
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP662P,P-GEN ORTHOP CASPER ,,https://myplan.uw.edu/course/#/courses/ORTHP662P
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP668P,P-PED ORTHP SPOKANE ,,https://myplan.uw.edu/course/#/courses/ORTHP668P
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP669P,P-GEN CLKSHPSPOKANE ,,https://myplan.uw.edu/course/#/courses/ORTHP669P
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP684,DISORDERS OF SPINE,,https://myplan.uw.edu/course/#/courses/ORTHP684
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP686P,P-FOOT & ANKLE,,https://myplan.uw.edu/course/#/courses/ORTHP686P
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP687P,P-SHOULDER & ELBOW,,https://myplan.uw.edu/course/#/courses/ORTHP687P
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP688P,P-SPORTS MED SPO,,https://myplan.uw.edu/course/#/courses/ORTHP688P
Orthopedics (ORTHP),ORTHP,https://www.washington.edu/students/timeschd/WIN2021/orthop.html,ORTHP699P,P-WAMI ORTHP ELECT,,https://myplan.uw.edu/course/#/courses/ORTHP699P
