department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/OTOHN498
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/OTOHN499
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN501P,P-CLIN PRECPT,,https://myplan.uw.edu/course/#/courses/OTOHN501P
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN600,INDEP STUDY/RESEARCH,,https://myplan.uw.edu/course/#/courses/OTOHN600
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN670,OTO-HNS SUB-I,,https://myplan.uw.edu/course/#/courses/OTOHN670
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN675,OTO-HNS BOZEMAN,,https://myplan.uw.edu/course/#/courses/OTOHN675
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN676,OTO-HNS JACKSON HOLE,,https://myplan.uw.edu/course/#/courses/OTOHN676
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN677P,P-OTO HARBORVIEW,,https://myplan.uw.edu/course/#/courses/OTOHN677P
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN681,APC-HARBORVIEW,,https://myplan.uw.edu/course/#/courses/OTOHN681
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN682P,P-OTOHNS VA,,https://myplan.uw.edu/course/#/courses/OTOHN682P
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN684P,P-OTOHNS SEACHILDRE ,,https://myplan.uw.edu/course/#/courses/OTOHN684P
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN687P,P-OTOHNS SPOKANE,,https://myplan.uw.edu/course/#/courses/OTOHN687P
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN688P,P-OTOHNS ANCHORAGE,,https://myplan.uw.edu/course/#/courses/OTOHN688P
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN689P,P-OTOHNS LARAMIE,,https://myplan.uw.edu/course/#/courses/OTOHN689P
Otolaryngology--Head and Neck Surgery (OTOHN),OTOHN,https://www.washington.edu/students/timeschd/WIN2021/otol.html,OTOHN699P,P-OTOHNS WWAMI,,https://myplan.uw.edu/course/#/courses/OTOHN699P
