department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO376,HUMAN PHYSIOLOGY,NW,https://myplan.uw.edu/course/#/courses/PBIO376
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/PBIO498
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/PBIO499
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO508,PHYSIOLOGY LAB,,https://myplan.uw.edu/course/#/courses/PBIO508
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO513,TEACHING PHYSIOLOGY ,,https://myplan.uw.edu/course/#/courses/PBIO513
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO520,PHYSIOLOGY SEMINAR,,https://myplan.uw.edu/course/#/courses/PBIO520
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO521,BIOPHYSICS SEMINAR,,https://myplan.uw.edu/course/#/courses/PBIO521
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO522,SEL TOPICS RES PHYS ,,https://myplan.uw.edu/course/#/courses/PBIO522
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO526,RDGS ADV PHYS & BIO ,,https://myplan.uw.edu/course/#/courses/PBIO526
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO545,QUANT METH NEUROSCI ,,https://myplan.uw.edu/course/#/courses/PBIO545
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PBIO600
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/PBIO700
Physiology and Biophysics (P BIO),P BIO,https://www.washington.edu/students/timeschd/WIN2021/physiolbio.html,PBIO800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/PBIO800
