department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Pathobiology (PABIO),PABIO,https://www.washington.edu/students/timeschd/WIN2021/pathobio.html,PABIO498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/PABIO498
Pathobiology (PABIO),PABIO,https://www.washington.edu/students/timeschd/WIN2021/pathobio.html,PABIO499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/PABIO499
Pathobiology (PABIO),PABIO,https://www.washington.edu/students/timeschd/WIN2021/pathobio.html,PABIO500,INTRO RESRCH PABIO,,https://myplan.uw.edu/course/#/courses/PABIO500
Pathobiology (PABIO),PABIO,https://www.washington.edu/students/timeschd/WIN2021/pathobio.html,PABIO552,CELL PATHOGENS DIS,,https://myplan.uw.edu/course/#/courses/PABIO552
Pathobiology (PABIO),PABIO,https://www.washington.edu/students/timeschd/WIN2021/pathobio.html,PABIO553,SURVIVAL SKILLS,,https://myplan.uw.edu/course/#/courses/PABIO553
Pathobiology (PABIO),PABIO,https://www.washington.edu/students/timeschd/WIN2021/pathobio.html,PABIO580,PATHOBIOLOGY SMNR,,https://myplan.uw.edu/course/#/courses/PABIO580
Pathobiology (PABIO),PABIO,https://www.washington.edu/students/timeschd/WIN2021/pathobio.html,PABIO598,DIDACTIC PATHOBIOL,,https://myplan.uw.edu/course/#/courses/PABIO598
Pathobiology (PABIO),PABIO,https://www.washington.edu/students/timeschd/WIN2021/pathobio.html,PABIO600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PABIO600
Pathobiology (PABIO),PABIO,https://www.washington.edu/students/timeschd/WIN2021/pathobio.html,PABIO700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/PABIO700
Pathobiology (PABIO),PABIO,https://www.washington.edu/students/timeschd/WIN2021/pathobio.html,PABIO800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/PABIO800
