department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/PATH498
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/PATH499
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH500,MOLEC BASIS OF DIS,,https://myplan.uw.edu/course/#/courses/PATH500
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH501,PATHOLOGY PROSEMNR,,https://myplan.uw.edu/course/#/courses/PATH501
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH511,TOPICS IN PATHOLOGY ,,https://myplan.uw.edu/course/#/courses/PATH511
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH513,NEURODEGENERATION,,https://myplan.uw.edu/course/#/courses/PATH513
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH517,AGING BIOL & PATH,,https://myplan.uw.edu/course/#/courses/PATH517
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH518,TOPICS IN CANCER,,https://myplan.uw.edu/course/#/courses/PATH518
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH520,EXP PATHOLOGY SMNR,,https://myplan.uw.edu/course/#/courses/PATH520
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH540,TRANS RES TOPICS,,https://myplan.uw.edu/course/#/courses/PATH540
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH544,GENERAL PATHOLOGY,,https://myplan.uw.edu/course/#/courses/PATH544
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH551,EXPER & MOLEC PATH,,https://myplan.uw.edu/course/#/courses/PATH551
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH580,MITOCHONDRIA &METAB ,,https://myplan.uw.edu/course/#/courses/PATH580
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PATH600
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH675P,P-DIAG PATH-MISSOULA,,https://myplan.uw.edu/course/#/courses/PATH675P
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH676P,P-DIAG PATH-SPOK,,https://myplan.uw.edu/course/#/courses/PATH676P
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH677P,P-NEUROPATH HMC,,https://myplan.uw.edu/course/#/courses/PATH677P
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH699P,P-WAMI PATH ELECT,,https://myplan.uw.edu/course/#/courses/PATH699P
Pathology (PATH),PATH,https://www.washington.edu/students/timeschd/WIN2021/patho.html,PATH800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/PATH800
