department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/PBSCI498
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI499,H-UNDERGRAD RESCH,,https://myplan.uw.edu/course/#/courses/PBSCI499
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI505P,P-PSYCH PRECEPTRSHP ,,https://myplan.uw.edu/course/#/courses/PBSCI505P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI598,PBSCI IND STDY REM,,https://myplan.uw.edu/course/#/courses/PBSCI598
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI600,RES IN PSYCHIATRY,,https://myplan.uw.edu/course/#/courses/PBSCI600
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI630P,P-WRITE PBSCI CLK,,https://myplan.uw.edu/course/#/courses/PBSCI630P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI631P,P-PSYCH JUNEAU,,https://myplan.uw.edu/course/#/courses/PBSCI631P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI632P,P-LIC PSYCH,,https://myplan.uw.edu/course/#/courses/PBSCI632P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI633,PSYC BILLINGS CLINIC,,https://myplan.uw.edu/course/#/courses/PBSCI633
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI637P,P-PSYCH FAIRFAX,,https://myplan.uw.edu/course/#/courses/PBSCI637P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI638P,P-PSYCH NW HOSPITAL ,,https://myplan.uw.edu/course/#/courses/PBSCI638P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI639P,P-PSYCH OLYMPIA,,https://myplan.uw.edu/course/#/courses/PBSCI639P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI640P,P-PSYCH POCATEL,,https://myplan.uw.edu/course/#/courses/PBSCI640P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI642P,P-PSYCH CK BLACKFOOT,,https://myplan.uw.edu/course/#/courses/PBSCI642P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI649P,P-PBSCI ESH SPO,,https://myplan.uw.edu/course/#/courses/PBSCI649P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI655P,P-PSYCH CHEYNE,,https://myplan.uw.edu/course/#/courses/PBSCI655P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI660P,P-PBSCI BOZEMAN,,https://myplan.uw.edu/course/#/courses/PBSCI660P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI661P,P-PSYCH HELENA,,https://myplan.uw.edu/course/#/courses/PBSCI661P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI662,PSYCH MISSOULA,,https://myplan.uw.edu/course/#/courses/PBSCI662
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI663,PSYCH BILLINGS,,https://myplan.uw.edu/course/#/courses/PBSCI663
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI669P,P-PSYCH CASPER,,https://myplan.uw.edu/course/#/courses/PBSCI669P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI674P,P-THERAPEUTIC COMM,,https://myplan.uw.edu/course/#/courses/PBSCI674P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI689P,P-SUBI GEN PSYCH SPO,,https://myplan.uw.edu/course/#/courses/PBSCI689P
Psychiatry and Behavioral Sciences (PBSCI),PBSCI,https://www.washington.edu/students/timeschd/WIN2021/psychbehav.html,PBSCI695P,P-CHILD PSYCH CSTC,,https://myplan.uw.edu/course/#/courses/PBSCI695P
