department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/PCEUT499
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT506,PK CONCEPTS,,https://myplan.uw.edu/course/#/courses/PCEUT506
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT513,PHARM/TOX GENOMICS,,https://myplan.uw.edu/course/#/courses/PCEUT513
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT520,SEMINAR,,https://myplan.uw.edu/course/#/courses/PCEUT520
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT532,CLINICAL PHARMACO,,https://myplan.uw.edu/course/#/courses/PCEUT532
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT570,ADV RESEARCH TOPICS ,,https://myplan.uw.edu/course/#/courses/PCEUT570
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT583,TOPICS IN PCEUT,,https://myplan.uw.edu/course/#/courses/PCEUT583
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT598,INDEPENDNT RESEARCH ,,https://myplan.uw.edu/course/#/courses/PCEUT598
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PCEUT600
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/PCEUT700
Pharmaceutics (PCEUT),PCEUT,https://www.washington.edu/students/timeschd/WIN2021/pharmceu.html,PCEUT800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/PCEUT800
