department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO550P,P-DIR STDYS PEDO,,https://myplan.uw.edu/course/#/courses/PEDO550P
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO572,PED DENT SEM III,,https://myplan.uw.edu/course/#/courses/PEDO572
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO576,PED DENT SEM VII,,https://myplan.uw.edu/course/#/courses/PEDO576
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO581,DEV DIS SEMINAR,,https://myplan.uw.edu/course/#/courses/PEDO581
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PEDO600
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO650P,P-PEDO EXTRAMURALS,,https://myplan.uw.edu/course/#/courses/PEDO650P
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO652,PEDO OFFST ROTATION ,,https://myplan.uw.edu/course/#/courses/PEDO652
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO662P,P-CLIN PED DENT,,https://myplan.uw.edu/course/#/courses/PEDO662P
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO668,RURAL PEDO DENTAL,,https://myplan.uw.edu/course/#/courses/PEDO668
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO669,SUPERVSD CLIN TCHNG ,,https://myplan.uw.edu/course/#/courses/PEDO669
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO672,CHMC PEDO CLINIC,,https://myplan.uw.edu/course/#/courses/PEDO672
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO676,CHMC PEDO CLINIC,,https://myplan.uw.edu/course/#/courses/PEDO676
Pediatric Dentistry (PEDO),PEDO,https://www.washington.edu/students/timeschd/WIN2021/pedodon.html,PEDO699,ORTHODONTIC CLINIC,,https://myplan.uw.edu/course/#/courses/PEDO699
