department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/PEDS498
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/PEDS499
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS505P,P-PRECEP IN PEDS,,https://myplan.uw.edu/course/#/courses/PEDS505P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS600,INDEPNDT STDY/RSCH,,https://myplan.uw.edu/course/#/courses/PEDS600
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS613,PEDS GI,,https://myplan.uw.edu/course/#/courses/PEDS613
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS620,PEDS SUBSPEC CLINIC ,,https://myplan.uw.edu/course/#/courses/PEDS620
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS624P,P-EMERGENCY MED SPO ,,https://myplan.uw.edu/course/#/courses/PEDS624P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS625P,P-PEDS EMERGENCY MED,,https://myplan.uw.edu/course/#/courses/PEDS625P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS629P,P-NEONATAL PEDS MIS ,,https://myplan.uw.edu/course/#/courses/PEDS629P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS630P,P-WRITE PEDS CLK,,https://myplan.uw.edu/course/#/courses/PEDS630P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS631P,P-LIC PEDS,,https://myplan.uw.edu/course/#/courses/PEDS631P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS638P,P-Cardiology - Miss ,,https://myplan.uw.edu/course/#/courses/PEDS638P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS640P,P-PEDS GI BOISE,,https://myplan.uw.edu/course/#/courses/PEDS640P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS643,PED CLRKSHP-SPO KAIS,,https://myplan.uw.edu/course/#/courses/PEDS643
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS644,PEDS CLKSHP- WASILLA,,https://myplan.uw.edu/course/#/courses/PEDS644
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS645,PED CLRKSHP KALISPEL,,https://myplan.uw.edu/course/#/courses/PEDS645
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS647P,P-PED CLKSHP LEWSTN ,,https://myplan.uw.edu/course/#/courses/PEDS647P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS648,PED CLKRSHP EVER,,https://myplan.uw.edu/course/#/courses/PEDS648
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS650P,P-PED CLKSHP MOSEL,,https://myplan.uw.edu/course/#/courses/PEDS650P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS651P,P-PED CLKSHP BOZEM,,https://myplan.uw.edu/course/#/courses/PEDS651P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS652P,P-PED CLKSHP IDA FAL,,https://myplan.uw.edu/course/#/courses/PEDS652P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS653P,P-PED CLKSHP HELENA ,,https://myplan.uw.edu/course/#/courses/PEDS653P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS655P,P-PED GEN CLRKSHP,,https://myplan.uw.edu/course/#/courses/PEDS655P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS657P,P-PED CLKSHP MISSOU ,,https://myplan.uw.edu/course/#/courses/PEDS657P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS658P,P-PED CLKSHP BOISE,,https://myplan.uw.edu/course/#/courses/PEDS658P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS659P,P-PED GEN CLKSHIP,,https://myplan.uw.edu/course/#/courses/PEDS659P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS660P,P-PED GEN CLKSHIP,,https://myplan.uw.edu/course/#/courses/PEDS660P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS661P,P-PEDS GEN CLK ANCH ,,https://myplan.uw.edu/course/#/courses/PEDS661P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS671P,P-PEDIATRIC ENDOCRIN,,https://myplan.uw.edu/course/#/courses/PEDS671P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS672P,P-OFFICE PR SPOKANE ,,https://myplan.uw.edu/course/#/courses/PEDS672P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS674P,P-PEDS GENETICS SPO ,,https://myplan.uw.edu/course/#/courses/PEDS674P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS675P,P-CAM ELECTIVE,,https://myplan.uw.edu/course/#/courses/PEDS675P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS677P,P-PEDS INTENS CARE,,https://myplan.uw.edu/course/#/courses/PEDS677P
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS687,NEONATAL CLKSHP,,https://myplan.uw.edu/course/#/courses/PEDS687
Pediatrics (PEDS),PEDS,https://www.washington.edu/students/timeschd/WIN2021/pediat.html,PEDS688,PED RHEUMATOLOGY,,https://myplan.uw.edu/course/#/courses/PEDS688
