department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO449,DIR STDYS IN PERIO,,https://myplan.uw.edu/course/#/courses/PERIO449
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO561,PERIODNTL CASE MNGT ,,https://myplan.uw.edu/course/#/courses/PERIO561
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO577,REVIEW OF LIT,,https://myplan.uw.edu/course/#/courses/PERIO577
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO578,IMPLANT LIT REVIEW,,https://myplan.uw.edu/course/#/courses/PERIO578
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO582,TREATMNT PLANN SMNR ,,https://myplan.uw.edu/course/#/courses/PERIO582
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO585,PERIO THERAPY SMNR,,https://myplan.uw.edu/course/#/courses/PERIO585
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO586,LONGITUDINAL PERIO,,https://myplan.uw.edu/course/#/courses/PERIO586
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO592,PRESCRIPTION SURG,,https://myplan.uw.edu/course/#/courses/PERIO592
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PERIO600
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO651,SURGICAL PERIO,,https://myplan.uw.edu/course/#/courses/PERIO651
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO655,PEER MENTOR PERIO,,https://myplan.uw.edu/course/#/courses/PERIO655
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO660,CLIN PERIODONTICS,,https://myplan.uw.edu/course/#/courses/PERIO660
Periodontics (PERIO),PERIO,https://www.washington.edu/students/timeschd/WIN2021/perio.html,PERIO665,CLINCL PRCTCE TEACH ,,https://myplan.uw.edu/course/#/courses/PERIO665
