department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP522,IPE FOUNDATIONS II,,https://myplan.uw.edu/course/#/courses/PHARMP522
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP533,IPPE HOSPITAL III,,https://myplan.uw.edu/course/#/courses/PHARMP533
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP571,APPE GEN MED,,https://myplan.uw.edu/course/#/courses/PHARMP571
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP572,APPE HEALTH SYSTEM,,https://myplan.uw.edu/course/#/courses/PHARMP572
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP573,APPE AMB CARE,,https://myplan.uw.edu/course/#/courses/PHARMP573
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP574,APPE COMMUNITY,,https://myplan.uw.edu/course/#/courses/PHARMP574
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP575,APPE PATIENT CARE,,https://myplan.uw.edu/course/#/courses/PHARMP575
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP576,APPE NON-PT CARE,,https://myplan.uw.edu/course/#/courses/PHARMP576
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP577,APPE SENIOR CARE,,https://myplan.uw.edu/course/#/courses/PHARMP577
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP578,APPE ELECTIVE,,https://myplan.uw.edu/course/#/courses/PHARMP578
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP581,GEN MED APPE,,https://myplan.uw.edu/course/#/courses/PHARMP581
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP582,IN-PATIENT APPE,,https://myplan.uw.edu/course/#/courses/PHARMP582
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP583,AMBULATORY APPE,,https://myplan.uw.edu/course/#/courses/PHARMP583
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP584,COMMUNITY APPE,,https://myplan.uw.edu/course/#/courses/PHARMP584
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP585,PATIENT CARE APPE,,https://myplan.uw.edu/course/#/courses/PHARMP585
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP586,NON-PATIENT APPE,,https://myplan.uw.edu/course/#/courses/PHARMP586
Pharmacy Practice (PHARMP),PHARMP,https://www.washington.edu/students/timeschd/WIN2021/pharmp.html,PHARMP587,SENIOR CARE APPE,,https://myplan.uw.edu/course/#/courses/PHARMP587
