department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM451,INTRO DRUG DISC DEV ,,https://myplan.uw.edu/course/#/courses/PHARM451
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM499,UNDERGRAD RES,,https://myplan.uw.edu/course/#/courses/PHARM499
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM501,ALT AND COMP MED,,https://myplan.uw.edu/course/#/courses/PHARM501
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM512,TOPICS FOR HLTH PROS,,https://myplan.uw.edu/course/#/courses/PHARM512
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM514,PHARM FOR ADV PRAC,,https://myplan.uw.edu/course/#/courses/PHARM514
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM517,BMED REG AFF DEV,,https://myplan.uw.edu/course/#/courses/PHARM517
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM531,ADVS IN EPILEPSY,,https://myplan.uw.edu/course/#/courses/PHARM531
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM535,HEALTH OUTCOMES,,https://myplan.uw.edu/course/#/courses/PHARM535
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM541,PHARM HEALTH CR SOC ,,https://myplan.uw.edu/course/#/courses/PHARM541
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM548,CURR TOPICS GERIATR ,,https://myplan.uw.edu/course/#/courses/PHARM548
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM550,SEMINAR GERIATRICS,,https://myplan.uw.edu/course/#/courses/PHARM550
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM551,INTRO DRUG DISC DEV ,,https://myplan.uw.edu/course/#/courses/PHARM551
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM561,P'THERAPEUTICS V,,https://myplan.uw.edu/course/#/courses/PHARM561
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM565,APP PHARMACOTHER III,,https://myplan.uw.edu/course/#/courses/PHARM565
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM568,HEALTH ECONOMICS,,https://myplan.uw.edu/course/#/courses/PHARM568
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM573,PHARM ADVOCACY II,,https://myplan.uw.edu/course/#/courses/PHARM573
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM581,GLOBAL PHARM MEDS,,https://myplan.uw.edu/course/#/courses/PHARM581
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM588,DIABETES CARE,,https://myplan.uw.edu/course/#/courses/PHARM588
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM595P,P-SPECIAL STUDIES,,https://myplan.uw.edu/course/#/courses/PHARM595P
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM596,SEM PEDIATRIC PHARM ,,https://myplan.uw.edu/course/#/courses/PHARM596
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM597,GRADUATE SEMINAR,,https://myplan.uw.edu/course/#/courses/PHARM597
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM599,INDEPENDENT STUDY,,https://myplan.uw.edu/course/#/courses/PHARM599
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PHARM600
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM700,MASTER'S THESIS,,https://myplan.uw.edu/course/#/courses/PHARM700
Pharmacy (PHARM),PHARM,https://www.washington.edu/students/timeschd/WIN2021/pharmacy.html,PHARM800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/PHARM800
