department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/PHCOL498
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/PHCOL499
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL503,CARDIO PHCOL,,https://myplan.uw.edu/course/#/courses/PHCOL503
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL504,NEUROPHCOL,,https://myplan.uw.edu/course/#/courses/PHCOL504
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL507,PHARMACOLOGY SMNR,,https://myplan.uw.edu/course/#/courses/PHCOL507
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL514,CURRENT TOPICS,,https://myplan.uw.edu/course/#/courses/PHCOL514
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL515,GEN PHARMACOL LAB,,https://myplan.uw.edu/course/#/courses/PHCOL515
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL519,INT LAB RES PHCOL,,https://myplan.uw.edu/course/#/courses/PHCOL519
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL527,DRUG METABOLISM,,https://myplan.uw.edu/course/#/courses/PHCOL527
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL537,MOL BIOL MEMBRN,,https://myplan.uw.edu/course/#/courses/PHCOL537
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL561,ION CHANNELS,,https://myplan.uw.edu/course/#/courses/PHCOL561
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL562,MOL BASIS MOTVD BEH ,,https://myplan.uw.edu/course/#/courses/PHCOL562
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL564,KINASE FUNCTION,,https://myplan.uw.edu/course/#/courses/PHCOL564
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL571,MOL NEUROSECRETION,,https://myplan.uw.edu/course/#/courses/PHCOL571
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL572,REGULATED TXN PHCOL ,,https://myplan.uw.edu/course/#/courses/PHCOL572
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL573,MICROGLIA AND CB,,https://myplan.uw.edu/course/#/courses/PHCOL573
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL575,STRUCT BIOL UBIQ,,https://myplan.uw.edu/course/#/courses/PHCOL575
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL576,G-PROTEIN CLPD RCPTR,,https://myplan.uw.edu/course/#/courses/PHCOL576
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL577,UBIQUITIN FUNCTION,,https://myplan.uw.edu/course/#/courses/PHCOL577
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL578,AKAPS RESEARCH,,https://myplan.uw.edu/course/#/courses/PHCOL578
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL579,GENES AND BEHAVIOR,,https://myplan.uw.edu/course/#/courses/PHCOL579
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL580,PROTEOMICS CELLSYST ,,https://myplan.uw.edu/course/#/courses/PHCOL580
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL581,MITO SIGNALMETABOL,,https://myplan.uw.edu/course/#/courses/PHCOL581
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL582,NUC ARCH NCRNA,,https://myplan.uw.edu/course/#/courses/PHCOL582
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL583,NEURODEV & DISEASE,,https://myplan.uw.edu/course/#/courses/PHCOL583
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PHCOL600
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/PHCOL700
Pharmacology (PHCOL),PHCOL,https://www.washington.edu/students/timeschd/WIN2021/pharma.html,PHCOL800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/PHCOL800
