department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL100,INTRO TO PHILOSOPHY ,I&S,https://myplan.uw.edu/course/#/courses/PHIL100
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL120,INTRO TO LOGIC,"I&S/NW,QSR",https://myplan.uw.edu/course/#/courses/PHIL120
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL240,INTRO TO ETHICS,VLPA/I&S,https://myplan.uw.edu/course/#/courses/PHIL240
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL243,ENVIRONMENTAL ETHICS,VLPA/I&S,https://myplan.uw.edu/course/#/courses/PHIL243
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL301,INTERMEDIATE TOPICS ,I&S,https://myplan.uw.edu/course/#/courses/PHIL301
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL314,CRIME & PUNISHMENT,I&S,https://myplan.uw.edu/course/#/courses/PHIL314
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL322,MODERN PHILOSOPHY,I&S,https://myplan.uw.edu/course/#/courses/PHIL322
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL340,HIST ANCIENT ETHICS ,VLPA/I&S,https://myplan.uw.edu/course/#/courses/PHIL340
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL347,PHIL IN LITERATURE,VLPA/I&S,https://myplan.uw.edu/course/#/courses/PHIL347
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL398,PRACTICUM PHIL CHILD,,https://myplan.uw.edu/course/#/courses/PHIL398
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL401,ADV TOPICS IN PHIL,I&S,https://myplan.uw.edu/course/#/courses/PHIL401
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL411,JUSTICE HEALTH CARE ,"VLPA/I&S,DIV",https://myplan.uw.edu/course/#/courses/PHIL411
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL426,20TH CENTURY PHILOS ,I&S,https://myplan.uw.edu/course/#/courses/PHIL426
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL441,PUB HEALTH ETHICS,I&S,https://myplan.uw.edu/course/#/courses/PHIL441
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL460,PHIL OF SCIENCE,I&S/NW,https://myplan.uw.edu/course/#/courses/PHIL460
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL470,INTERMEDIATE LOGIC,"I&S/NW,QSR",https://myplan.uw.edu/course/#/courses/PHIL470
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL479,SEMANTICS II,VLPA/I&S/NW,https://myplan.uw.edu/course/#/courses/PHIL479
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL483,INDUCTION & PROBAB,I&S/NW,https://myplan.uw.edu/course/#/courses/PHIL483
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL484,READING IN PHILOS,,https://myplan.uw.edu/course/#/courses/PHIL484
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL498,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/PHIL498
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL510,SMNR SOCIAL PHILOS,,https://myplan.uw.edu/course/#/courses/PHIL510
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL540,SEMINAR IN ETHICS,,https://myplan.uw.edu/course/#/courses/PHIL540
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL584,READING IN PHILOS,,https://myplan.uw.edu/course/#/courses/PHIL584
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PHIL600
Philosophy (PHIL),PHIL,https://www.washington.edu/students/timeschd/WIN2021/phil.html,PHIL800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/PHIL800
