department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS110,LIBERAL ARTS PHYS,"NW,QSR",https://myplan.uw.edu/course/#/courses/PHYS110
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS114,GENERAL PHYSICS,"NW,QSR",https://myplan.uw.edu/course/#/courses/PHYS114
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS115,HEAT FLUIDS E&M,NW,https://myplan.uw.edu/course/#/courses/PHYS115
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS116,WAVE OPTICS ATOMS,NW,https://myplan.uw.edu/course/#/courses/PHYS116
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS117,GENERAL PHYSICS LAB ,NW,https://myplan.uw.edu/course/#/courses/PHYS117
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS118,GENERAL PHYSICS LAB ,NW,https://myplan.uw.edu/course/#/courses/PHYS118
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS119,GENERAL PHYSICS LAB ,NW,https://myplan.uw.edu/course/#/courses/PHYS119
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS121,MECHANICS,"NW,QSR",https://myplan.uw.edu/course/#/courses/PHYS121
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS122,ELECTROMAGNETISM,NW,https://myplan.uw.edu/course/#/courses/PHYS122
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS123,WAVES,NW,https://myplan.uw.edu/course/#/courses/PHYS123
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS142,H-ELECTROMAGNETISM,NW,https://myplan.uw.edu/course/#/courses/PHYS142
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS225,INTRO MOD MECHANICS ,NW,https://myplan.uw.edu/course/#/courses/PHYS225
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS228,ELEM MATH PHYS,NW,https://myplan.uw.edu/course/#/courses/PHYS228
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS232,COMPUTATIONAL PHYS,NW,https://myplan.uw.edu/course/#/courses/PHYS232
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS294,PHYSICS FRONTIERS,NW,https://myplan.uw.edu/course/#/courses/PHYS294
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS322,ELECTROMAGNETISM,NW,https://myplan.uw.edu/course/#/courses/PHYS322
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS325,QUANTUM MECHANICS,NW,https://myplan.uw.edu/course/#/courses/PHYS325
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS334,ELECT CIRCUITS LAB,NW,https://myplan.uw.edu/course/#/courses/PHYS334
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS401,SPECIAL PROBLEMS,,https://myplan.uw.edu/course/#/courses/PHYS401
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS402,SPECIAL PROBLEMS,,https://myplan.uw.edu/course/#/courses/PHYS402
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS403,SPECIAL PROBLEMS,,https://myplan.uw.edu/course/#/courses/PHYS403
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS408,PHYS BY INQUIRY II,NW,https://myplan.uw.edu/course/#/courses/PHYS408
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS423,CONTEMP COND MATTER ,NW,https://myplan.uw.edu/course/#/courses/PHYS423
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS429,BIOPHYSICS,,https://myplan.uw.edu/course/#/courses/PHYS429
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS431,MODERN PHYSICS LAB,NW,https://myplan.uw.edu/course/#/courses/PHYS431
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS441,QUANTUM PHYSICS,NW,https://myplan.uw.edu/course/#/courses/PHYS441
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS486,H-SR HONORS SEMINAR ,NW,https://myplan.uw.edu/course/#/courses/PHYS486
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS495,SEM CURRENT PROBS,NW,https://myplan.uw.edu/course/#/courses/PHYS495
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS498,DIRECTED READ PHYS,NW,https://myplan.uw.edu/course/#/courses/PHYS498
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/PHYS499
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS501,TEACHING PHYSICS,,https://myplan.uw.edu/course/#/courses/PHYS501
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS502,TEACHING PHYSICS,,https://myplan.uw.edu/course/#/courses/PHYS502
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS503,TEACHING PHYSICS,,https://myplan.uw.edu/course/#/courses/PHYS503
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS514,ELECTRMAG & RELTVTY ,,https://myplan.uw.edu/course/#/courses/PHYS514
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS518,QUANTUM MECHANICS,,https://myplan.uw.edu/course/#/courses/PHYS518
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS525,STATISTICAL MECH,,https://myplan.uw.edu/course/#/courses/PHYS525
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS545,CONTEMPORARY OPTICS ,,https://myplan.uw.edu/course/#/courses/PHYS545
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS550,ATOMIC PHYSICS,,https://myplan.uw.edu/course/#/courses/PHYS550
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS560,THRTCL NUCLEAR PHYS ,,https://myplan.uw.edu/course/#/courses/PHYS560
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS567,THEORY OF SOLIDS,,https://myplan.uw.edu/course/#/courses/PHYS567
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS571,QUANTUM FIELD THRY,,https://myplan.uw.edu/course/#/courses/PHYS571
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS576,SEL TPC EXPRMTL PHY ,,https://myplan.uw.edu/course/#/courses/PHYS576
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS578,SEL TPC THRTCL PHYS ,,https://myplan.uw.edu/course/#/courses/PHYS578
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS580,PHYSICS COLLOQUIUM,,https://myplan.uw.edu/course/#/courses/PHYS580
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS581,SMNR HGH ENRGY PHYS ,,https://myplan.uw.edu/course/#/courses/PHYS581
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS582,SEM PARTICLE THEORY ,,https://myplan.uw.edu/course/#/courses/PHYS582
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS585,SMNR EXP NUC PHYS,,https://myplan.uw.edu/course/#/courses/PHYS585
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS586,SMNR CONDENSED MATT ,,https://myplan.uw.edu/course/#/courses/PHYS586
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS588,PRTCL ASTROPHYS SEM ,,https://myplan.uw.edu/course/#/courses/PHYS588
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS589,SEM PRB PHYSICS ED,,https://myplan.uw.edu/course/#/courses/PHYS589
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PHYS600
Physics (PHYS),PHYS,https://www.washington.edu/students/timeschd/WIN2021/phys.html,PHYS800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/PHYS800
