department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS201,INTRO POL THEORY,I&S,https://myplan.uw.edu/course/#/courses/POLS201
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS202,INTRO TO AMER POL,I&S,https://myplan.uw.edu/course/#/courses/POLS202
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS203,INTRO INTERNATL REL ,I&S,https://myplan.uw.edu/course/#/courses/POLS203
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS204,INTRO TO COMPAR POL ,I&S,https://myplan.uw.edu/course/#/courses/POLS204
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS249,INTRO LABOR STUDIES ,I&S,https://myplan.uw.edu/course/#/courses/POLS249
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS285,POL SCI AS SOCL SCI ,"I&S,QSR",https://myplan.uw.edu/course/#/courses/POLS285
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS307,RELIG & WORLD POL,I&S,https://myplan.uw.edu/course/#/courses/POLS307
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS310,MODERN POL THOUGHT,I&S,https://myplan.uw.edu/course/#/courses/POLS310
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS315,BLACK IDEN/POL POWR ,I&S,https://myplan.uw.edu/course/#/courses/POLS315
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS316,AF-AM POL/SOC THT,"I&S,DIV",https://myplan.uw.edu/course/#/courses/POLS316
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS321,AMER FOREIGN POLICY ,I&S,https://myplan.uw.edu/course/#/courses/POLS321
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS326,SCAND IN WORLD AFRS ,I&S,https://myplan.uw.edu/course/#/courses/POLS326
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS327,WOMEN RTS/HUMAN RTS ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/POLS327
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS328,INTL ORGANIZATIONS,I&S,https://myplan.uw.edu/course/#/courses/POLS328
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS349,STRATEGY & WAR,I&S,https://myplan.uw.edu/course/#/courses/POLS349
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS355,AMERICAN PRESIDENCY ,I&S,https://myplan.uw.edu/course/#/courses/POLS355
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS360,AM CONST LAW,I&S,https://myplan.uw.edu/course/#/courses/POLS360
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS401,POL THEORY ADV SEM,I&S,https://myplan.uw.edu/course/#/courses/POLS401
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS405,AM POLITICS ADV SEM ,I&S,https://myplan.uw.edu/course/#/courses/POLS405
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS409,UNDERG SEM-POL ECON ,I&S,https://myplan.uw.edu/course/#/courses/POLS409
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS423,NATL SECURITY JAPAN ,I&S,https://myplan.uw.edu/course/#/courses/POLS423
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS426,WORLD POLITICS,I&S,https://myplan.uw.edu/course/#/courses/POLS426
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS430,CIVIL-MILI RELATION ,I&S,https://myplan.uw.edu/course/#/courses/POLS430
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS432,POLITICAL ISLAM,I&S,https://myplan.uw.edu/course/#/courses/POLS432
Political Science (POL S),POL S,https://www.washington.edu/students/timeschd/WIN2021/polisci.html,POLS436,ETHNIC POLITICS,I&S,https://myplan.uw.edu/course/#/courses/POLS436
