department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH101,INTRO TO PSYCH,I&S,https://myplan.uw.edu/course/#/courses/PSYCH101
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH202,BIOPSYCH,NW,https://myplan.uw.edu/course/#/courses/PSYCH202
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH203,PERS & INDIV DIFFS,I&S,https://myplan.uw.edu/course/#/courses/PSYCH203
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH205,BEHAVIOR DISORDERS,I&S,https://myplan.uw.edu/course/#/courses/PSYCH205
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH208,HAPPINESS,I&S,https://myplan.uw.edu/course/#/courses/PSYCH208
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH209,FDMNTLS PSYCH RSCH,,https://myplan.uw.edu/course/#/courses/PSYCH209
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH210,HUMAN SEXUALITY,"I&S,DIV",https://myplan.uw.edu/course/#/courses/PSYCH210
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH222,CURRENT TOPICS PSYCH,I&S,https://myplan.uw.edu/course/#/courses/PSYCH222
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH257,PSYCH OF GENDER,"I&S,DIV",https://myplan.uw.edu/course/#/courses/PSYCH257
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH302,NEUROSCIENCE OF MIND,NW,https://myplan.uw.edu/course/#/courses/PSYCH302
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH305,ABNORMAL PSYCHOLOGY ,I&S,https://myplan.uw.edu/course/#/courses/PSYCH305
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH306,DEVELOPMENTAL PSYCH ,I&S,https://myplan.uw.edu/course/#/courses/PSYCH306
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH315,UNDRSTD STATS PSYCH ,QSR,https://myplan.uw.edu/course/#/courses/PSYCH315
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH317,PSYCH PROB & STAT,QSR,https://myplan.uw.edu/course/#/courses/PSYCH317
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH318,STAT INFERENCE,QSR,https://myplan.uw.edu/course/#/courses/PSYCH318
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH330,LAB ANIMAL BEHAVIOR ,NW,https://myplan.uw.edu/course/#/courses/PSYCH330
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH331,LAB HUMAN COGNITION ,I&S,https://myplan.uw.edu/course/#/courses/PSYCH331
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH332,NEUROBEHAVIORAL LAB ,NW,https://myplan.uw.edu/course/#/courses/PSYCH332
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH333,SEN/PERCPT PROCESS,NW,https://myplan.uw.edu/course/#/courses/PSYCH333
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH334,LAB-SOCIAL PSYCH,I&S,https://myplan.uw.edu/course/#/courses/PSYCH334
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH345,SOCIAL PSYCHOLOGY,I&S,https://myplan.uw.edu/course/#/courses/PSYCH345
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH350,H-RSCH SEM IN PSYCH ,,https://myplan.uw.edu/course/#/courses/PSYCH350
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH408,NEUROETHOLOGY,NW,https://myplan.uw.edu/course/#/courses/PSYCH408
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH410,CHLD/ADDL BEHAV DIS ,I&S,https://myplan.uw.edu/course/#/courses/PSYCH410
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH431,ECOPSYCHOLOGY,I&S,https://myplan.uw.edu/course/#/courses/PSYCH431
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH436,DEVEL/SPORT COMPETN ,I&S,https://myplan.uw.edu/course/#/courses/PSYCH436
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH447,PSYCH OF LANGUAGE,VLPA/I&S,https://myplan.uw.edu/course/#/courses/PSYCH447
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH448,TOPICS PSYCH SCIENCE,,https://myplan.uw.edu/course/#/courses/PSYCH448
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH449,ORGZNL/INDUST PSYCH ,I&S,https://myplan.uw.edu/course/#/courses/PSYCH449
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH450,H-RSCH SMNR PSYCH,,https://myplan.uw.edu/course/#/courses/PSYCH450
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH483,WRITING IN PSYCH,,https://myplan.uw.edu/course/#/courses/PSYCH483
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH488,STRESS & COPING,I&S/NW,https://myplan.uw.edu/course/#/courses/PSYCH488
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH489,CLINICAL PSYCHOLOGY ,I&S,https://myplan.uw.edu/course/#/courses/PSYCH489
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH496,UNDERGRAD TEACH EXP ,,https://myplan.uw.edu/course/#/courses/PSYCH496
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH497,UNDERGRAD FIELDWORK ,,https://myplan.uw.edu/course/#/courses/PSYCH497
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH498,DIRECTED READING,,https://myplan.uw.edu/course/#/courses/PSYCH498
Psychology (PSYCH),PSYCH,https://www.washington.edu/students/timeschd/WIN2021/psych.html,PSYCH499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/PSYCH499
