department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN513,RES STRAT CLIN PSYCH,,https://myplan.uw.edu/course/#/courses/PSYCLN513
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN522,CHILD ASSESSMENT,,https://myplan.uw.edu/course/#/courses/PSYCLN522
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN530,BEHAVIOR DISORDERS,,https://myplan.uw.edu/course/#/courses/PSYCLN530
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN531,DEV PSYCHOPATHOLOGY ,,https://myplan.uw.edu/course/#/courses/PSYCLN531
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN543,EBT DEPRESSION,,https://myplan.uw.edu/course/#/courses/PSYCLN543
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN573,SMNR CHILD SCLIN PSY,,https://myplan.uw.edu/course/#/courses/PSYCLN573
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN574,IND STDY AFFECT SCI ,,https://myplan.uw.edu/course/#/courses/PSYCLN574
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN575,BEHAVRL NEUROSCIENCE,,https://myplan.uw.edu/course/#/courses/PSYCLN575
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN576,IND STUDY IN COG SCI,,https://myplan.uw.edu/course/#/courses/PSYCLN576
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN577,IND STD LIFESPAN DEV,,https://myplan.uw.edu/course/#/courses/PSYCLN577
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN580,CLIN PRACT/COLLOQ,,https://myplan.uw.edu/course/#/courses/PSYCLN580
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN582,CLIN METHODS ETHICS ,,https://myplan.uw.edu/course/#/courses/PSYCLN582
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN583,CLINICAL SUPERVISION,,https://myplan.uw.edu/course/#/courses/PSYCLN583
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN585,FIELD WORK-CLINICAL ,,https://myplan.uw.edu/course/#/courses/PSYCLN585
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN588,ANX & TRMA DISORDERS,,https://myplan.uw.edu/course/#/courses/PSYCLN588
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN589,LEARN CLINIC PRACT,,https://myplan.uw.edu/course/#/courses/PSYCLN589
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN590,PARENT-CHILD PRACT,,https://myplan.uw.edu/course/#/courses/PSYCLN590
Clinical Psychology (PSYCLN),PSYCLN,https://www.washington.edu/students/timeschd/WIN2021/psycln.html,PSYCLN596,ADV CLIN PRACTICUM,,https://myplan.uw.edu/course/#/courses/PSYCLN596
