department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL201,INTO PUB POL & GOV,I&S,https://myplan.uw.edu/course/#/courses/PUBPOL201
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL313,EVIDENCE POL IMPLMNT,I&S,https://myplan.uw.edu/course/#/courses/PUBPOL313
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL403,PROF LEADERSHIP,,https://myplan.uw.edu/course/#/courses/PUBPOL403
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL503,EXEC LEADRSHP,,https://myplan.uw.edu/course/#/courses/PUBPOL503
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL504,LEADERSHIP ETHICS,,https://myplan.uw.edu/course/#/courses/PUBPOL504
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL512,MANAGING ORG PERF,,https://myplan.uw.edu/course/#/courses/PUBPOL512
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL517,ECN POL ANLYS MGT II,,https://myplan.uw.edu/course/#/courses/PUBPOL517
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL520,INTERGOV RELATIONS,,https://myplan.uw.edu/course/#/courses/PUBPOL520
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL523,ADV BUDGET PUB SECT ,,https://myplan.uw.edu/course/#/courses/PUBPOL523
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL525,QUAL MTHDS&FLD ANYLS,,https://myplan.uw.edu/course/#/courses/PUBPOL525
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL527,QUANT ANALYSIS I,,https://myplan.uw.edu/course/#/courses/PUBPOL527
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL533,ECON OF INTL DEVEL,,https://myplan.uw.edu/course/#/courses/PUBPOL533
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL537,TOPICS INTNTL AFFRS ,,https://myplan.uw.edu/course/#/courses/PUBPOL537
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL541,ROLE OF NGO INT DEV ,,https://myplan.uw.edu/course/#/courses/PUBPOL541
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL542,COMPUTATIONAL THINK ,,https://myplan.uw.edu/course/#/courses/PUBPOL542
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL543,VISUAL ANALYTICS,,https://myplan.uw.edu/course/#/courses/PUBPOL543
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL555,TPCS NONPROFIT MGT,,https://myplan.uw.edu/course/#/courses/PUBPOL555
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL565,TOPICS IN URBAN AFF ,,https://myplan.uw.edu/course/#/courses/PUBPOL565
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL571,EDU & WRKFRCE POL,,https://myplan.uw.edu/course/#/courses/PUBPOL571
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL572,RACE EQUITY POLICY,,https://myplan.uw.edu/course/#/courses/PUBPOL572
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL578,ASSET BUILDING,,https://myplan.uw.edu/course/#/courses/PUBPOL578
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL590,ENVIRO POLICY,,https://myplan.uw.edu/course/#/courses/PUBPOL590
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL598,PROF SKILLS WORKSHOP,,https://myplan.uw.edu/course/#/courses/PUBPOL598
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL599,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/PUBPOL599
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/PUBPOL600
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL605,DEGREE PROJECT,,https://myplan.uw.edu/course/#/courses/PUBPOL605
Public Policy (PUBPOL),PUBPOL,https://www.washington.edu/students/timeschd/WIN2021/pubpol.html,PUBPOL608,CAPSTONE PROJ SMNR,,https://myplan.uw.edu/course/#/courses/PUBPOL608
