department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE250,INTRO REAL ESTATE,,https://myplan.uw.edu/course/#/courses/RE250
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE361,PROP TRANSACTIONS,I&S,https://myplan.uw.edu/course/#/courses/RE361
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE416,RE MARKET ANALYSIS,,https://myplan.uw.edu/course/#/courses/RE416
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE431,RE PORTFOLIO MGMT,QSR,https://myplan.uw.edu/course/#/courses/RE431
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE466,ADV HOUSING STUDIES ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/RE466
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE490,INDEPENDENT STUDY,,https://myplan.uw.edu/course/#/courses/RE490
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE497,RE DATA MODELING,I&S,https://myplan.uw.edu/course/#/courses/RE497
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE509,FINANCIAL MODEL II,,https://myplan.uw.edu/course/#/courses/RE509
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE510,INTRO REAL ESTATE,,https://myplan.uw.edu/course/#/courses/RE510
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE513,RE FINANCE INVEST,,https://myplan.uw.edu/course/#/courses/RE513
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE514,NEGOTATIONS BE,,https://myplan.uw.edu/course/#/courses/RE514
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE515,REAL ESTATE LAW,,https://myplan.uw.edu/course/#/courses/RE515
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE518,BEST PRACTICES RE,,https://myplan.uw.edu/course/#/courses/RE518
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE531,RE PORTFOLIO MGMT,,https://myplan.uw.edu/course/#/courses/RE531
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE565,ADV HOUSING STUDIES ,,https://myplan.uw.edu/course/#/courses/RE565
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE597,RE DATA MODELING,,https://myplan.uw.edu/course/#/courses/RE597
Real Estate (R E),R E,https://www.washington.edu/students/timeschd/WIN2021/re.html,RE600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/RE600
