department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/RADGY498
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/RADGY499
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY505P,P-RADGY PRECEPTOR,,https://myplan.uw.edu/course/#/courses/RADGY505P
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY508,PHYS ASPECT MED IMG ,,https://myplan.uw.edu/course/#/courses/RADGY508
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/RADGY600
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY684,INTVNL RAD,,https://myplan.uw.edu/course/#/courses/RADGY684
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY685P,P-DX RADGY BOZEMAN,,https://myplan.uw.edu/course/#/courses/RADGY685P
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY686P,P-RADGY ID FALLS,,https://myplan.uw.edu/course/#/courses/RADGY686P
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY687P,P-DX RADGY CASPER,,https://myplan.uw.edu/course/#/courses/RADGY687P
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY688P,P-DX RADGY BOISE,,https://myplan.uw.edu/course/#/courses/RADGY688P
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY689P,P-DX RADGY BILLINGS ,,https://myplan.uw.edu/course/#/courses/RADGY689P
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY691P,P-DX RADGY ALASKA,,https://myplan.uw.edu/course/#/courses/RADGY691P
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY692P,P-DX RADGY SPOKANE,,https://myplan.uw.edu/course/#/courses/RADGY692P
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY694P,P-DX RADGY/CL ROT,,https://myplan.uw.edu/course/#/courses/RADGY694P
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY695P,P-RAD SUB-SPEC,,https://myplan.uw.edu/course/#/courses/RADGY695P
Radiology (RADGY),RADGY,https://www.washington.edu/students/timeschd/WIN2021/radiol.html,RADGY699P,P-WWAMI RADGY ELECT ,,https://myplan.uw.edu/course/#/courses/RADGY699P
