department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB498,UNDERGRAD THESIS,,https://myplan.uw.edu/course/#/courses/REHAB498
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/REHAB499
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB506,PROCDRS 2 PE SPINE,,https://myplan.uw.edu/course/#/courses/REHAB506
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB513,SPEC STUDIES IN PT,,https://myplan.uw.edu/course/#/courses/REHAB513
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB519P,P-PRECEP REHAB MED,,https://myplan.uw.edu/course/#/courses/REHAB519P
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB520,SEMINAR,,https://myplan.uw.edu/course/#/courses/REHAB520
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB530,ASPCTS VOCTNL COUNS ,,https://myplan.uw.edu/course/#/courses/REHAB530
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB533,DISEAS DIAGNO REHAB ,,https://myplan.uw.edu/course/#/courses/REHAB533
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB545,FNC ANAT RHAB SPINE ,,https://myplan.uw.edu/course/#/courses/REHAB545
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB546,TEACH PRACT REHAB,,https://myplan.uw.edu/course/#/courses/REHAB546
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB551,NEUROBIOLOGY REHAB,,https://myplan.uw.edu/course/#/courses/REHAB551
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB555P,P-NEUROMUS ELCTRODG ,,https://myplan.uw.edu/course/#/courses/REHAB555P
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB558,REHAB RSRCH MTHDS,,https://myplan.uw.edu/course/#/courses/REHAB558
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB564,OT PRACTICE SKILLS,,https://myplan.uw.edu/course/#/courses/REHAB564
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB566,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/REHAB566
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB567,PRACTICUM IN REHAB,,https://myplan.uw.edu/course/#/courses/REHAB567
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB575,OT IN PHYS DIS II,,https://myplan.uw.edu/course/#/courses/REHAB575
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB576,OT IN PEDS,,https://myplan.uw.edu/course/#/courses/REHAB576
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB578,DOMAIN & PROCESS I,,https://myplan.uw.edu/course/#/courses/REHAB578
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB585,OT LEADERSHIP MGMT,,https://myplan.uw.edu/course/#/courses/REHAB585
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB591,GRADUATE PROJECT,,https://myplan.uw.edu/course/#/courses/REHAB591
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB594,CLIN FIELDWORK OT,,https://myplan.uw.edu/course/#/courses/REHAB594
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB596,EMG&CLIN NEUROPHYS,,https://myplan.uw.edu/course/#/courses/REHAB596
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB598,ELCTRMY & ELCTRD LB ,,https://myplan.uw.edu/course/#/courses/REHAB598
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/REHAB600
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB684,REHAB BOISE,,https://myplan.uw.edu/course/#/courses/REHAB684
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB688,REHAB MED VA INPT,,https://myplan.uw.edu/course/#/courses/REHAB688
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB690P,P-REHAB MED UWMC,,https://myplan.uw.edu/course/#/courses/REHAB690P
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB692P,P-REHAB ST LUKES,,https://myplan.uw.edu/course/#/courses/REHAB692P
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB699P,P-WAMI REHAB ELECT,,https://myplan.uw.edu/course/#/courses/REHAB699P
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/REHAB700
Rehabilitation Medicine (REHAB),REHAB,https://www.washington.edu/students/timeschd/WIN2021/rehab.html,REHAB800,DISSERTATION,,https://myplan.uw.edu/course/#/courses/REHAB800
