department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD570,LITERATURE REVIEW,,https://myplan.uw.edu/course/#/courses/RESD570
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD580,TREATMENT PLANNING,,https://myplan.uw.edu/course/#/courses/RESD580
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD582,GRAD PROS LIT REVIEW,,https://myplan.uw.edu/course/#/courses/RESD582
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD585,ADV DENT MAT SCI,,https://myplan.uw.edu/course/#/courses/RESD585
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/RESD600
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD653,CLINIC MAGNIFICATN,,https://myplan.uw.edu/course/#/courses/RESD653
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD655,PEER MENTOR RESD,,https://myplan.uw.edu/course/#/courses/RESD655
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD660,ORAL REHABILITATION ,,https://myplan.uw.edu/course/#/courses/RESD660
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD663,OPER CNSRV CAST GOLD,,https://myplan.uw.edu/course/#/courses/RESD663
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD665,ADV CLN GER DENT,,https://myplan.uw.edu/course/#/courses/RESD665
Restorative Dentistry (RES D),RES D,https://www.washington.edu/students/timeschd/WIN2021/restor.html,RESD672,DIRECT GOLD RESD,,https://myplan.uw.edu/course/#/courses/RESD672
