department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND100,INTRO SCANDINAVIA,VLPA/I&S,https://myplan.uw.edu/course/#/courses/SCAND100
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND151,FINN LIT/CULTR HIST ,VLPA,https://myplan.uw.edu/course/#/courses/SCAND151
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND152,LATV LIT/CULT HIST,VLPA,https://myplan.uw.edu/course/#/courses/SCAND152
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND153,LITH LIT/CLTR HIST,VLPA,https://myplan.uw.edu/course/#/courses/SCAND153
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND270,SAGAS OF VIKINGS,VLPA,https://myplan.uw.edu/course/#/courses/SCAND270
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND326,SCAND IN WORLD AFRS ,I&S,https://myplan.uw.edu/course/#/courses/SCAND326
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND330,SCAND MYTHOLOGY,VLPA,https://myplan.uw.edu/course/#/courses/SCAND330
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND360,SCAND CINEMA,VLPA,https://myplan.uw.edu/course/#/courses/SCAND360
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND445,WAR/OCCUPATN N. EUR ,"VLPA/I&S,DIV",https://myplan.uw.edu/course/#/courses/SCAND445
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND498,SR CAPSTONE,,https://myplan.uw.edu/course/#/courses/SCAND498
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND499,INDEP STUDY/RSRCH,,https://myplan.uw.edu/course/#/courses/SCAND499
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND514,MEDIA SCAND,,https://myplan.uw.edu/course/#/courses/SCAND514
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND590,SCAN SPEC TOPICS,,https://myplan.uw.edu/course/#/courses/SCAND590
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/SCAND600
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/SCAND700
Scandinavian (SCAND),SCAND,https://www.washington.edu/students/timeschd/WIN2021/scand.html,SCAND800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/SCAND800
