department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS502,ANLYS TECH COM ECOL ,,https://myplan.uw.edu/course/#/courses/SEFS502
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS503,ISSUES RESTOR & HORT,,https://myplan.uw.edu/course/#/courses/SEFS503
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS509,ANALYS RSRCH PROBLM ,,https://myplan.uw.edu/course/#/courses/SEFS509
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS510,GD STDYS FOR SOILS,,https://myplan.uw.edu/course/#/courses/SEFS510
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS520,GEOG INFO SYSTEMS,,https://myplan.uw.edu/course/#/courses/SEFS520
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS521,CURR TOPICS FOR RES ,,https://myplan.uw.edu/course/#/courses/SEFS521
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS522,PLANT MICRO SEMINAR ,,https://myplan.uw.edu/course/#/courses/SEFS522
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS526,ADV SILVICULTURE SEM,,https://myplan.uw.edu/course/#/courses/SEFS526
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS541,ADV LANDSCAPE ECOL,,https://myplan.uw.edu/course/#/courses/SEFS541
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS590,GRADUATE STUDIES,,https://myplan.uw.edu/course/#/courses/SEFS590
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS595,TEACHING PRACTICUM,,https://myplan.uw.edu/course/#/courses/SEFS595
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/SEFS600
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS601,INTERNSHIP,,https://myplan.uw.edu/course/#/courses/SEFS601
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/SEFS700
School of Environmental and Forest Sciences (SEFS),SEFS,https://www.washington.edu/students/timeschd/WIN2021/sefs.html,SEFS800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/SEFS800
