department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
School of Marine and Environmental Affairs (SMEA),SMEA,https://www.washington.edu/students/timeschd/WIN2021/smea.html,SMEA201,CLIMATE GOVERNANCE,"I&S/NW,DIV",https://myplan.uw.edu/course/#/courses/SMEA201
School of Marine and Environmental Affairs (SMEA),SMEA,https://www.washington.edu/students/timeschd/WIN2021/smea.html,SMEA499,UNDERGRAD RESEARCH,,https://myplan.uw.edu/course/#/courses/SMEA499
School of Marine and Environmental Affairs (SMEA),SMEA,https://www.washington.edu/students/timeschd/WIN2021/smea.html,SMEA515,US COAST & OCN LAW,,https://myplan.uw.edu/course/#/courses/SMEA515
School of Marine and Environmental Affairs (SMEA),SMEA,https://www.washington.edu/students/timeschd/WIN2021/smea.html,SMEA536,MICROECON MAR AFF,,https://myplan.uw.edu/course/#/courses/SMEA536
School of Marine and Environmental Affairs (SMEA),SMEA,https://www.washington.edu/students/timeschd/WIN2021/smea.html,SMEA539,US FISH MGT POL,,https://myplan.uw.edu/course/#/courses/SMEA539
School of Marine and Environmental Affairs (SMEA),SMEA,https://www.washington.edu/students/timeschd/WIN2021/smea.html,SMEA550,SPECIAL TOPICS,,https://myplan.uw.edu/course/#/courses/SMEA550
School of Marine and Environmental Affairs (SMEA),SMEA,https://www.washington.edu/students/timeschd/WIN2021/smea.html,SMEA591,MS IN COASTAL ZONE,,https://myplan.uw.edu/course/#/courses/SMEA591
School of Marine and Environmental Affairs (SMEA),SMEA,https://www.washington.edu/students/timeschd/WIN2021/smea.html,SMEA600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/SMEA600
School of Marine and Environmental Affairs (SMEA),SMEA,https://www.washington.edu/students/timeschd/WIN2021/smea.html,SMEA650,MAR&ENVIR CAPSTONE,,https://myplan.uw.edu/course/#/courses/SMEA650
School of Marine and Environmental Affairs (SMEA),SMEA,https://www.washington.edu/students/timeschd/WIN2021/smea.html,SMEA700,MASTERS THESIS,,https://myplan.uw.edu/course/#/courses/SMEA700
