department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF200,INTRO SOC WLFR PRAC ,I&S,https://myplan.uw.edu/course/#/courses/SOCWF200
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF250,SOC WF WRITING,,https://myplan.uw.edu/course/#/courses/SOCWF250
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF311,SOCL WELF PRAC II,,https://myplan.uw.edu/course/#/courses/SOCWF311
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF315,COMM SERV LEARNING,,https://myplan.uw.edu/course/#/courses/SOCWF315
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF404,CLTRL DIVRSTY/JSTCE ,"I&S,DIV",https://myplan.uw.edu/course/#/courses/SOCWF404
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF410,EVIDENCE-BASED PRAC ,,https://myplan.uw.edu/course/#/courses/SOCWF410
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF415,BEGIN FIELD INSTR,,https://myplan.uw.edu/course/#/courses/SOCWF415
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF435,SW PRACTICE SKILLS,,https://myplan.uw.edu/course/#/courses/SOCWF435
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF490,IND RESEARCH SOC WF ,,https://myplan.uw.edu/course/#/courses/SOCWF490
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF491,HONORS SEMINAR,,https://myplan.uw.edu/course/#/courses/SOCWF491
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF492,HONORS THESIS I,,https://myplan.uw.edu/course/#/courses/SOCWF492
Social Welfare BASW (SOC WF),SOC WF,https://www.washington.edu/students/timeschd/WIN2021/socwlbasw.html,SOCWF499,IND STDY SOC WF,,https://myplan.uw.edu/course/#/courses/SOCWF499
