department_name,department_abbr,department_url,course_num,course_name,course_credit_type,course_myplan_url
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL556,WCPC SEMINAR SERIES ,,https://myplan.uw.edu/course/#/courses/SOCWL556
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL557,CAREER SEMINAR,,https://myplan.uw.edu/course/#/courses/SOCWL557
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL558,INTEGRATIVE SEMINAR ,,https://myplan.uw.edu/course/#/courses/SOCWL558
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL573,RESEARCH CAREER SEM ,,https://myplan.uw.edu/course/#/courses/SOCWL573
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL580,QUANT RES METHODS,,https://myplan.uw.edu/course/#/courses/SOCWL580
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL581,QUAL RESEARCH MTHDS ,,https://myplan.uw.edu/course/#/courses/SOCWL581
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL582,RESEARCH PRACTICUM,,https://myplan.uw.edu/course/#/courses/SOCWL582
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL583,RESEARCH PRACTICUM,,https://myplan.uw.edu/course/#/courses/SOCWL583
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL584,TEACHING PRACTICUM,,https://myplan.uw.edu/course/#/courses/SOCWL584
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL600,INDEPNDNT STDY/RSCH ,,https://myplan.uw.edu/course/#/courses/SOCWL600
Social Welfare (SOC WL),SOC WL,https://www.washington.edu/students/timeschd/WIN2021/socwl.html,SOCWL800,DOCTORAL DISSERTATN ,,https://myplan.uw.edu/course/#/courses/SOCWL800
